panel	record	gsm	stage_label	stage_group	plot_position	metric	value
a	plotted	GSM3516664-MetBone	MetBone	Metastasis	0	AMI_celltype_vs_pas	0.3667
a	plotted	GSM3516664-MetBone	MetBone	Metastasis	0	ARI_celltype_vs_pas	0.226
a	plotted	GSM3516671-MetBrain	MetBrain	Metastasis	1	AMI_celltype_vs_pas	0.3877
a	plotted	GSM3516671-MetBrain	MetBrain	Metastasis	1	ARI_celltype_vs_pas	0.2441
a	plotted	GSM3516673-Normal	Normal	Normal	2	AMI_celltype_vs_pas	0.4469
a	plotted	GSM3516673-Normal	Normal	Normal	2	ARI_celltype_vs_pas	0.2002
a	plotted	GSM3516666-Normal	Normal	Normal	3	AMI_celltype_vs_pas	0.5334
a	plotted	GSM3516666-Normal	Normal	Normal	3	ARI_celltype_vs_pas	0.2591
a	plotted	GSM3516667-StageIA	StageIA	Stage I–II	4	AMI_celltype_vs_pas	0.5798
a	plotted	GSM3516667-StageIA	StageIA	Stage I–II	4	ARI_celltype_vs_pas	0.4407
a	plotted	GSM3516668-MetBrain	MetBrain	Metastasis	5	AMI_celltype_vs_pas	0.5966
a	plotted	GSM3516668-MetBrain	MetBrain	Metastasis	5	ARI_celltype_vs_pas	0.3719
a	plotted	GSM3516675-Normal	Normal	Normal	6	AMI_celltype_vs_pas	0.618
a	plotted	GSM3516675-Normal	Normal	Normal	6	ARI_celltype_vs_pas	0.4218
a	plotted	GSM3516669-StageIIA	StageIIA	Stage I–II	7	AMI_celltype_vs_pas	0.6527
a	plotted	GSM3516669-StageIIA	StageIIA	Stage I–II	7	ARI_celltype_vs_pas	0.4627
a	plotted	GSM3516663-StageIA	StageIA	Stage I–II	8	AMI_celltype_vs_pas	0.6616
a	plotted	GSM3516663-StageIA	StageIA	Stage I–II	8	ARI_celltype_vs_pas	0.5736
a	plotted	GSM3516677-MetAdrenal	MetAdrenal	Metastasis	9	AMI_celltype_vs_pas	0.6792
a	plotted	GSM3516677-MetAdrenal	MetAdrenal	Metastasis	9	ARI_celltype_vs_pas	0.6155
a	plotted	GSM3516670-StageIB	StageIB	Stage I–II	10	AMI_celltype_vs_pas	0.6826
a	plotted	GSM3516670-StageIB	StageIB	Stage I–II	10	ARI_celltype_vs_pas	0.4564
a	plotted	GSM3516676-Normal	Normal	Normal	11	AMI_celltype_vs_pas	0.6878
a	plotted	GSM3516676-Normal	Normal	Normal	11	ARI_celltype_vs_pas	0.5793
a	plotted	GSM3516665-StageIVprimary	StageIVprimary	Stage IV primary	12	AMI_celltype_vs_pas	0.7124
a	plotted	GSM3516665-StageIVprimary	StageIVprimary	Stage IV primary	12	ARI_celltype_vs_pas	0.4939
a	plotted	GSM3516678-MetBrain	MetBrain	Metastasis	13	AMI_celltype_vs_pas	0.7185
a	plotted	GSM3516678-MetBrain	MetBrain	Metastasis	13	ARI_celltype_vs_pas	0.6513
a	plotted	GSM3516662-StageIA	StageIA	Stage I–II	14	AMI_celltype_vs_pas	0.7634
a	plotted	GSM3516662-StageIA	StageIA	Stage I–II	14	ARI_celltype_vs_pas	0.5445
a	plotted	GSM3516674-StageIA	StageIA	Stage I–II	15	AMI_celltype_vs_pas	0.7739
a	plotted	GSM3516674-StageIA	StageIA	Stage I–II	15	ARI_celltype_vs_pas	0.6705
a	plotted	GSM3516672-StageIB	StageIB	Stage I–II	16	AMI_celltype_vs_pas	0.7795
a	plotted	GSM3516672-StageIB	StageIB	Stage I–II	16	ARI_celltype_vs_pas	0.6611
b	plotted	GSM3516662-StageIA	StageIA	Stage I–II		n_celltypes	12.0
b	plotted	GSM3516662-StageIA	StageIA	Stage I–II		n_pas_clusters	14.0
b	plotted	GSM3516663-StageIA	StageIA	Stage I–II		n_celltypes	11.0
b	plotted	GSM3516663-StageIA	StageIA	Stage I–II		n_pas_clusters	14.0
b	plotted	GSM3516664-MetBone	MetBone	Metastasis		n_celltypes	6.0
b	plotted	GSM3516664-MetBone	MetBone	Metastasis		n_pas_clusters	10.0
b	plotted	GSM3516665-StageIVprimary	StageIVprimary	Stage IV primary		n_celltypes	17.0
b	plotted	GSM3516665-StageIVprimary	StageIVprimary	Stage IV primary		n_pas_clusters	15.0
b	plotted	GSM3516666-Normal	Normal	Normal		n_celltypes	14.0
b	plotted	GSM3516666-Normal	Normal	Normal		n_pas_clusters	15.0
b	plotted	GSM3516667-StageIA	StageIA	Stage I–II		n_celltypes	14.0
b	plotted	GSM3516667-StageIA	StageIA	Stage I–II		n_pas_clusters	13.0
b	plotted	GSM3516668-MetBrain	MetBrain	Metastasis		n_celltypes	9.0
b	plotted	GSM3516668-MetBrain	MetBrain	Metastasis		n_pas_clusters	14.0
b	plotted	GSM3516669-StageIIA	StageIIA	Stage I–II		n_celltypes	15.0
b	plotted	GSM3516669-StageIIA	StageIIA	Stage I–II		n_pas_clusters	15.0
b	plotted	GSM3516670-StageIB	StageIB	Stage I–II		n_celltypes	9.0
b	plotted	GSM3516670-StageIB	StageIB	Stage I–II		n_pas_clusters	10.0
b	plotted	GSM3516671-MetBrain	MetBrain	Metastasis		n_celltypes	11.0
b	plotted	GSM3516671-MetBrain	MetBrain	Metastasis		n_pas_clusters	13.0
b	plotted	GSM3516672-StageIB	StageIB	Stage I–II		n_celltypes	15.0
b	plotted	GSM3516672-StageIB	StageIB	Stage I–II		n_pas_clusters	16.0
b	plotted	GSM3516673-Normal	Normal	Normal		n_celltypes	16.0
b	plotted	GSM3516673-Normal	Normal	Normal		n_pas_clusters	16.0
b	plotted	GSM3516674-StageIA	StageIA	Stage I–II		n_celltypes	14.0
b	plotted	GSM3516674-StageIA	StageIA	Stage I–II		n_pas_clusters	16.0
b	plotted	GSM3516675-Normal	Normal	Normal		n_celltypes	11.0
b	plotted	GSM3516675-Normal	Normal	Normal		n_pas_clusters	16.0
