panel	metric	category	label	value	denominator	value_pct
a	cells_retained_after_qc	Adjacent normal	GSM3516673-Normal	3979.0	3990.0	99.72
a	cells_retained_after_qc	Adjacent normal	GSM3516676-Normal	3315.0	3320.0	99.85
a	cells_retained_after_qc	Adjacent normal	GSM3516666-Normal	3001.0	3011.0	99.67
a	cells_retained_after_qc	Adjacent normal	GSM3516675-Normal	2660.0	2666.0	99.77
a	cells_retained_after_qc	Primary, stage I-II	GSM3516674-StageIA	4923.0	4959.0	99.27
a	cells_retained_after_qc	Primary, stage I-II	GSM3516663-StageIA	4657.0	4662.0	99.89
a	cells_retained_after_qc	Primary, stage I-II	GSM3516672-StageIB	4247.0	4272.0	99.41
a	cells_retained_after_qc	Primary, stage I-II	GSM3516667-StageIA	4160.0	4184.0	99.43
a	cells_retained_after_qc	Primary, stage I-II	GSM3516669-StageIIA	3420.0	3658.0	93.49
a	cells_retained_after_qc	Primary, stage I-II	GSM3516662-StageIA	3418.0	3441.0	99.33
a	cells_retained_after_qc	Primary, stage I-II	GSM3516670-StageIB	1036.0	1188.0	87.21
a	cells_retained_after_qc	Primary, stage IV	GSM3516665-StageIVprimary	3659.0	3660.0	99.97
a	cells_retained_after_qc	Metastasis	GSM3516668-MetBrain	4133.0	4557.0	90.7
a	cells_retained_after_qc	Metastasis	GSM3516678-MetBrain	3241.0	3287.0	98.6
a	cells_retained_after_qc	Metastasis	GSM3516677-MetAdrenal	2946.0	2963.0	99.43
a	cells_retained_after_qc	Metastasis	GSM3516664-MetBone	1350.0	1375.0	98.18
a	cells_retained_after_qc	Metastasis	GSM3516671-MetBrain	1277.0	1279.0	99.84
b	genes_with_n_pas	single_PAS	1 PAS	4532.0	8039.0	56.38
b	genes_with_n_pas	multi_PAS	2 PAS	1746.0	8039.0	21.72
b	genes_with_n_pas	multi_PAS	3 PAS	742.0	8039.0	9.23
b	genes_with_n_pas	multi_PAS	4+ PAS	1019.0	8039.0	12.68
c	pas_by_tier	pas_detected_in_all_17_samples	TIER_1	16409.0	16500.0	99.448
