symbol	gsm	celltype	site	usage	n_reads_pas	n_reads_gene	qvalue
ZBTB38	GSM3516662-StageIA	Epithelial_Tumor	proximal	0.2138728323699422	37	173	0.004890889752237
ZBTB38	GSM3516662-StageIA	T_cell	proximal	0.8433734939759037	70	83	0.004890889752237
ZBTB38	GSM3516662-StageIA	Epithelial_Tumor	distal	0.41040462427745666	71	173	0.0421615723063198
ZBTB38	GSM3516662-StageIA	T_cell	distal	0.04819277108433735	4	83	0.0421615723063198
YWHAB	GSM3516662-StageIA	Epithelial_Tumor	distal	0.7894736842105263	300	380	5.2550081692502314e-08
YWHAB	GSM3516662-StageIA	T_cell	distal	0.38738738738738737	43	111	5.2550081692502314e-08
YWHAB	GSM3516662-StageIA	Epithelial_Tumor	proximal	0.15526315789473685	59	380	0.0018131806477977
YWHAB	GSM3516662-StageIA	T_cell	proximal	0.5225225225225225	58	111	0.0018131806477977
CGGBP1	GSM3516662-StageIA	Epithelial_Tumor	distal	0.26964285714285713	151	560	3.371127638304312e-05
CGGBP1	GSM3516662-StageIA	T_cell	distal	0.0196078431372549	3	153	3.371127638304312e-05
CGGBP1	GSM3516662-StageIA	Epithelial_Tumor	proximal	0.5071428571428571	284	560	1.0
CGGBP1	GSM3516662-StageIA	T_cell	proximal	0.49019607843137253	75	153	1.0
SPAG1	GSM3516662-StageIA	Epithelial_Tumor	distal	0.038461538461538464	1	26	0.0782237559026516
SPAG1	GSM3516662-StageIA	T_cell	distal	1.0	9	9	0.0782237559026516
ZBTB38	GSM3516663-StageIA	Epithelial_Tumor	proximal	0.29333333333333333	22	75	0.0066628314890788
ZBTB38	GSM3516663-StageIA	T_cell	proximal	0.6613439787092482	994	1503	0.0066628314890788
ZBTB38	GSM3516663-StageIA	Epithelial_Tumor	distal	0.3333333333333333	25	75	0.0247751894901863
ZBTB38	GSM3516663-StageIA	T_cell	distal	0.1383898868928809	208	1503	0.0247751894901863
YWHAB	GSM3516663-StageIA	Epithelial_Tumor	distal	0.569620253164557	135	237	2.1277106090362064e-05
YWHAB	GSM3516663-StageIA	T_cell	distal	0.30309575233981284	842	2778	2.1277106090362064e-05
YWHAB	GSM3516663-StageIA	Epithelial_Tumor	proximal	0.20675105485232068	49	237	0.5492516253971581
YWHAB	GSM3516663-StageIA	T_cell	proximal	0.3023758099352052	840	2778	0.5492516253971581
CGGBP1	GSM3516663-StageIA	Epithelial_Tumor	distal	0.47586206896551725	69	145	1.2458492044384088e-06
CGGBP1	GSM3516663-StageIA	T_cell	distal	0.05344995140913508	165	3087	1.2458492044384088e-06
CGGBP1	GSM3516663-StageIA	Epithelial_Tumor	proximal	0.30344827586206896	44	145	0.0212390238978667
CGGBP1	GSM3516663-StageIA	T_cell	proximal	0.532555879494655	1644	3087	0.0212390238978667
SPAG1	GSM3516663-StageIA	Epithelial_Tumor	distal	0.3023255813953488	13	43	0.1822543053613185
SPAG1	GSM3516663-StageIA	T_cell	distal	0.800561797752809	285	356	0.1822543053613185
SPAG1	GSM3516663-StageIA	Epithelial_Tumor	proximal	0.4418604651162791	19	43	0.7070083810766743
SPAG1	GSM3516663-StageIA	T_cell	proximal	0.16853932584269662	60	356	0.7070083810766743
ZBTB38	GSM3516665-StageIVprimary	Epithelial_Tumor	proximal	0.15047021943573669	48	319	0.4966660908144867
ZBTB38	GSM3516665-StageIVprimary	T_cell	proximal	0.6379310344827587	37	58	0.4966660908144867
ZBTB38	GSM3516665-StageIVprimary	Epithelial_Tumor	distal	0.3542319749216301	113	319	0.9810108644307984
ZBTB38	GSM3516665-StageIVprimary	T_cell	distal	0.10344827586206896	6	58	0.9810108644307984
YWHAB	GSM3516665-StageIVprimary	Epithelial_Tumor	distal	0.5561545372866128	619	1113	0.2003899290469576
YWHAB	GSM3516665-StageIVprimary	T_cell	distal	0.31683168316831684	32	101	0.2003899290469576
YWHAB	GSM3516665-StageIVprimary	Epithelial_Tumor	proximal	0.1734052111410602	193	1113	1.0
YWHAB	GSM3516665-StageIVprimary	T_cell	proximal	0.2079207920792079	21	101	1.0
CGGBP1	GSM3516665-StageIVprimary	Epithelial_Tumor	distal	0.2193103448275862	159	725	0.3362838635186227
CGGBP1	GSM3516665-StageIVprimary	T_cell	distal	0.04	5	125	0.3362838635186227
CGGBP1	GSM3516665-StageIVprimary	Epithelial_Tumor	proximal	0.24551724137931036	178	725	0.3614542517279862
CGGBP1	GSM3516665-StageIVprimary	T_cell	proximal	0.424	53	125	0.3614542517279862
SPAG1	GSM3516665-StageIVprimary	Epithelial_Tumor	distal	0.04672897196261682	5	107	1.0
SPAG1	GSM3516665-StageIVprimary	T_cell	distal	0.0	0	7	1.0
SPAG1	GSM3516665-StageIVprimary	Epithelial_Tumor	proximal	0.6074766355140186	65	107	1.0
SPAG1	GSM3516665-StageIVprimary	T_cell	proximal	0.5714285714285714	4	7	1.0
ZBTB38	GSM3516667-StageIA	Epithelial_Tumor	proximal	0.44680851063829785	42	94	0.7474563753242192
ZBTB38	GSM3516667-StageIA	T_cell	proximal	0.6644182124789207	394	593	0.7474563753242192
ZBTB38	GSM3516667-StageIA	Epithelial_Tumor	distal	0.26595744680851063	25	94	1.0
ZBTB38	GSM3516667-StageIA	T_cell	distal	0.16526138279932545	98	593	1.0
YWHAB	GSM3516667-StageIA	Epithelial_Tumor	proximal	0.07692307692307693	23	299	0.0211479545628907
YWHAB	GSM3516667-StageIA	T_cell	proximal	0.20342730790491984	368	1809	0.0211479545628907
YWHAB	GSM3516667-StageIA	Epithelial_Tumor	distal	0.6020066889632107	180	299	0.1374933839218364
YWHAB	GSM3516667-StageIA	T_cell	distal	0.4947484798231067	895	1809	0.1374933839218364
