method	run	seed	n_tests	n_pairs_tested	n_q_lt_fdr	n_pair_families_with_hit	frac_p_lt_05	min_pvalue	median_pvalue
fisher	true		56	6	40	6	0.7142857142857143	0.0	0.00053041502508375
fisher	perm_01	1	120	6	58	6	0.5333333333333333	1.0161731157570734e-20	0.030537943521886
fisher	perm_02	2	84	6	36	6	0.47619047619047616	4.410105879801943e-12	0.0571448995290027
fisher	perm_03	3	108	6	52	6	0.5	5.258295318488656e-12	0.04958170986027815
fisher	perm_04	4	138	6	32	6	0.26811594202898553	2.191843645327634e-06	0.2780970380463823
fisher	perm_05	5	144	6	44	5	0.3888888888888889	4.4994790520481556e-10	0.1683077561069252
fisher	perm_06	6	126	6	37	6	0.3333333333333333	1.6373521113149964e-18	0.1612562479375578
fisher	perm_07	7	150	6	45	6	0.32	4.3674671208184826e-08	0.2698360424002856
fisher	perm_08	8	138	6	51	6	0.39855072463768115	3.942953488797902e-12	0.1142562416607425
fisher	perm_09	9	180	6	60	6	0.37777777777777777	3.834413360558313e-11	0.1768211450578646
fisher	perm_10	10	204	6	56	6	0.4019607843137255	7.289926968721721e-10	0.08853547845753049
fisher	perm_11	11	186	6	67	6	0.44623655913978494	1.6309358579211108e-14	0.1198826308995229
fisher	perm_12	12	54	6	14	4	0.3333333333333333	4.1414088449525976e-05	0.092240567898969
fisher	perm_13	13	24	6	4	2	0.25	0.000111870377828	0.30025497773809307
fisher	perm_14	14	180	6	56	6	0.4111111111111111	8.900268700588641e-09	0.1198381860761707
fisher	perm_15	15	180	6	60	6	0.4	1.0156130682090531e-11	0.2162303956121974
fisher	perm_16	16	108	6	38	6	0.4444444444444444	8.884223752507961e-07	0.09933747092909981
fisher	perm_17	17	156	6	30	6	0.2692307692307692	2.066847224801884e-06	0.478364482428193
fisher	perm_18	18	108	6	29	6	0.3611111111111111	1.1851171180118181e-08	0.1756501008138833
fisher	perm_19	19	156	6	52	6	0.358974358974359	9.137528436943813e-09	0.26715752517221325
fisher	perm_20	20	96	6	20	5	0.375	1.5120687409170334e-06	0.3367357207783246
nb	true		331	6	316	6	0.9577039274924471	3.550593387219889e-262	1.4755682612672996e-34
nb	perm_01	1	2779	6	307	6	0.2025908600215905	3.553625699795367e-15	0.3135592602672963
nb	perm_02	2	3027	6	522	6	0.3069045259332673	2.544879696950801e-36	0.1690450059461693
nb	perm_03	3	2886	6	478	6	0.23180873180873182	1.0561087461648457e-18	0.3190150282114307
nb	perm_04	4	2843	6	273	5	0.19978895532887794	6.831190921350995e-22	0.3576995116937064
nb	perm_05	5	2880	6	306	6	0.20208333333333334	2.5677118631646958e-17	0.30742059790860576
nb	perm_06	6	2796	6	271	6	0.18776824034334763	4.1119219057224486e-16	0.39379752659596423
nb	perm_07	7	2622	6	339	6	0.2124332570556827	3.523622410194218e-21	0.2997054943972075
nb	perm_08	8	2584	6	427	6	0.25773993808049533	1.7616849533914554e-14	0.2841961300868009
nb	perm_09	9	2904	6	313	6	0.1924931129476584	1.5593337392329684e-20	0.3704951442495486
nb	perm_10	10	3057	6	251	6	0.16748446189074256	4.323371954568599e-18	0.4055247526929268
nb	perm_11	11	2883	6	436	6	0.21678806798473813	1.2004851551325837e-17	0.3139819060445186
nb	perm_12	12	2892	6	250	6	0.17669432918395575	1.921770811235934e-11	0.33901276754623577
nb	perm_13	13	3109	6	324	6	0.20907044065615954	8.263504150396442e-16	0.2495911355061484
nb	perm_14	14	2920	6	272	5	0.18972602739726027	1.7828476024140163e-15	0.40183103112011864
nb	perm_15	15	3056	6	456	6	0.25	3.299368496870397e-16	0.2531825750936555
nb	perm_16	16	3362	6	426	6	0.23378941106484236	9.41102076989556e-20	0.2595990850886126
nb	perm_17	17	2261	6	319	6	0.23883237505528526	1.2347776499173464e-20	0.2786391328467488
nb	perm_18	18	2869	6	346	6	0.20843499477169747	3.8876103385185375e-21	0.3576414686470311
nb	perm_19	19	3375	6	276	6	0.16385185185185186	5.286283160280001e-18	0.3561776749196461
nb	perm_20	20	3043	6	413	6	0.22412093328951693	1.1625759085370613e-23	0.2840281025566397
