method	bin_lo	bin_hi	count	density
fisher	0.0	0.05	1020	7.727272727272727
fisher	0.05	0.1	172	1.3030303030303032
fisher	0.1	0.15000000000000002	108	0.8181818181818181
fisher	0.15000000000000002	0.2	102	0.7727272727272727
fisher	0.2	0.25	79	0.5984848484848484
fisher	0.25	0.30000000000000004	96	0.7272727272727273
fisher	0.30000000000000004	0.35000000000000003	60	0.4545454545454546
fisher	0.35000000000000003	0.4	68	0.5151515151515151
fisher	0.4	0.45	76	0.5757575757575758
fisher	0.45	0.5	78	0.5909090909090909
fisher	0.5	0.55	74	0.5606060606060606
fisher	0.55	0.6000000000000001	75	0.5681818181818181
fisher	0.6000000000000001	0.65	81	0.6136363636363636
fisher	0.65	0.7000000000000001	83	0.6287878787878788
fisher	0.7000000000000001	0.75	56	0.42424242424242425
fisher	0.75	0.8	67	0.5075757575757576
fisher	0.8	0.8500000000000001	66	0.5
fisher	0.8500000000000001	0.9	63	0.4772727272727273
fisher	0.9	0.9500000000000001	81	0.6136363636363636
fisher	0.9500000000000001	1.0	135	1.0227272727272727
nb	0.0	0.05	12393	4.262571369608585
nb	0.05	0.1	3931	1.352067139024558
nb	0.1	0.15000000000000002	3278	1.1274678406823966
nb	0.15000000000000002	0.2	3175	1.0920409988305704
nb	0.2	0.25	2854	0.9816330742243929
nb	0.25	0.30000000000000004	2719	0.935199834904038
nb	0.30000000000000004	0.35000000000000003	2627	0.9035564421820184
nb	0.35000000000000003	0.4	2572	0.8846391965329847
nb	0.4	0.45	2373	0.8161931622755726
nb	0.45	0.5	2263	0.7783586709775057
nb	0.5	0.55	2214	0.7615051248538213
nb	0.55	0.6000000000000001	2151	0.7398362798376557
nb	0.6000000000000001	0.65	2158	0.7422439292838963
nb	0.65	0.7000000000000001	2056	0.7071610373529614
nb	0.7000000000000001	0.75	1947	0.669670495975786
nb	0.75	0.8	1969	0.6772373942353993
nb	0.8	0.8500000000000001	1866	0.6418105523835729
nb	0.8500000000000001	0.9	1908	0.6562564490610168
nb	0.9	0.9500000000000001	1858	0.6390589530164408
nb	0.9500000000000001	1.0	1836	0.6314920547568275
