method	perm	pair	pas_id	pvalue	qvalue
fisher	1	IVprimary_vs_Met	12764	5.022140995958099e-09	4.160142130093024e-08
fisher	1	IVprimary_vs_Met	12724	5.022140995958098e-09	4.160142130093024e-08
fisher	1	IVprimary_vs_Met	1109	8.320284260186047e-09	4.160142130093024e-08
fisher	1	IVprimary_vs_Met	1059	8.320284260186047e-09	4.160142130093024e-08
fisher	1	IVprimary_vs_Met	161465	1.2530246089297617e-07	4.176748696432539e-07
fisher	1	IVprimary_vs_Met	161415	1.2530246089297617e-07	4.176748696432539e-07
fisher	1	IVprimary_vs_Met	210717	6.238304272840016e-07	1.559576068210004e-06
fisher	1	IVprimary_vs_Met	210671	6.238304272840016e-07	1.559576068210004e-06
fisher	1	IVprimary_vs_Met	291318	0.001811971261223	0.0036239425224461
fisher	1	IVprimary_vs_Met	291312	0.001811971261223	0.0036239425224461
fisher	1	IVprimary_vs_Met	122315	0.0024721317408036	0.0041202195680061
fisher	1	IVprimary_vs_Met	122268	0.0024721317408036	0.0041202195680061
fisher	1	IVprimary_vs_Met	86659	0.1417228198979194	0.2024611712827421
fisher	1	IVprimary_vs_Met	86600	0.1417228198979194	0.2024611712827421
fisher	1	IVprimary_vs_Met	114596	0.5632988928897186	0.7041236161121482
fisher	1	IVprimary_vs_Met	114593	0.5632988928897186	0.7041236161121482
fisher	1	IVprimary_vs_Met	267672	0.7147029608020268	0.794114400891141
fisher	1	IVprimary_vs_Met	267674	0.7147029608020269	0.794114400891141
fisher	1	IVprimary_vs_Met	10438	0.8246692350410532	0.8246692350410532
fisher	1	IVprimary_vs_Met	10442	0.8246692350410532	0.8246692350410532
fisher	1	IVprimary_vs_Normal	12764	4.145463686950858e-07	2.072731843475429e-06
fisher	1	IVprimary_vs_Normal	12724	4.145463686950858e-07	2.072731843475429e-06
fisher	1	IVprimary_vs_Normal	1109	3.575631987900148e-07	2.072731843475429e-06
fisher	1	IVprimary_vs_Normal	1059	3.575631987900148e-07	2.072731843475429e-06
fisher	1	IVprimary_vs_Normal	161465	1.2236733216124855e-05	4.0789110720416185e-05
fisher	1	IVprimary_vs_Normal	161415	1.2236733216124855e-05	4.0789110720416185e-05
fisher	1	IVprimary_vs_Normal	122268	2.213482643631564e-05	5.533706609078909e-05
fisher	1	IVprimary_vs_Normal	122315	2.213482643631564e-05	5.533706609078909e-05
fisher	1	IVprimary_vs_Normal	210717	8.672306866357591e-05	0.0001734461373271
fisher	1	IVprimary_vs_Normal	210671	8.672306866357591e-05	0.0001734461373271
fisher	1	IVprimary_vs_Normal	291312	0.0080178153250015	0.0133630255416692
fisher	1	IVprimary_vs_Normal	291318	0.0080178153250015	0.0133630255416692
fisher	1	IVprimary_vs_Normal	267674	0.0262945660794606	0.0375636658278009
fisher	1	IVprimary_vs_Normal	267672	0.0262945660794606	0.0375636658278009
fisher	1	IVprimary_vs_Normal	86659	0.0744726207106546	0.0930907758883183
fisher	1	IVprimary_vs_Normal	86600	0.0744726207106546	0.0930907758883183
fisher	1	IVprimary_vs_Normal	10438	0.4156602724070529	0.4618447471189477
fisher	1	IVprimary_vs_Normal	10442	0.4156602724070529	0.4618447471189477
fisher	1	IVprimary_vs_Normal	114593	0.4750323304384181	0.4750323304384181
fisher	1	IVprimary_vs_Normal	114596	0.4750323304384181	0.4750323304384181
fisher	1	IVprimary_vs_StageI	12764	2.7169848349204837e-10	2.7169848349204844e-09
fisher	1	IVprimary_vs_StageI	12724	2.7169848349204837e-10	2.7169848349204844e-09
fisher	1	IVprimary_vs_StageI	1109	3.7503882280027966e-07	1.8751941140013977e-06
fisher	1	IVprimary_vs_StageI	1059	3.7503882280027966e-07	1.8751941140013977e-06
fisher	1	IVprimary_vs_StageI	161465	1.0952725170047132e-06	3.6509083900157114e-06
fisher	1	IVprimary_vs_StageI	161415	1.0952725170047132e-06	3.6509083900157114e-06
fisher	1	IVprimary_vs_StageI	210717	9.56272335999903e-06	2.3906808399997572e-05
fisher	1	IVprimary_vs_StageI	210671	9.56272335999903e-06	2.3906808399997572e-05
fisher	1	IVprimary_vs_StageI	291318	0.0002860516607884	0.0005721033215768
fisher	1	IVprimary_vs_StageI	291312	0.0002860516607884	0.0005721033215768
fisher	1	IVprimary_vs_StageI	86659	0.0745612087797395	0.1242686812995659
fisher	1	IVprimary_vs_StageI	86600	0.0745612087797395	0.1242686812995659
fisher	1	IVprimary_vs_StageI	122315	0.1343257984109373	0.1918939977299104
fisher	1	IVprimary_vs_StageI	122268	0.1343257984109373	0.1918939977299104
fisher	1	IVprimary_vs_StageI	267674	0.3429218225012274	0.4286522781265343
fisher	1	IVprimary_vs_StageI	267672	0.3429218225012274	0.4286522781265343
fisher	1	IVprimary_vs_StageI	10438	0.6135295086823115	0.6816994540914573
fisher	1	IVprimary_vs_StageI	10442	0.6135295086823115	0.6816994540914573
fisher	1	IVprimary_vs_StageI	114593	0.8583790067707044	0.8583790067707044
fisher	1	IVprimary_vs_StageI	114596	0.8583790067707044	0.8583790067707044
fisher	1	Met_vs_Normal	114593	0.0002631246550171	0.0026312465501717
fisher	1	Met_vs_Normal	114596	0.0002631246550171	0.0026312465501717
fisher	1	Met_vs_Normal	122268	0.0118534371803136	0.0288750819995209
fisher	1	Met_vs_Normal	122315	0.0118534371803136	0.0288750819995209
fisher	1	Met_vs_Normal	267672	0.0104001885163823	0.0288750819995209
fisher	1	Met_vs_Normal	267674	0.0104001885163823	0.0288750819995209
fisher	1	Met_vs_Normal	161465	0.0144375409997604	0.0288750819995209
fisher	1	Met_vs_Normal	161415	0.0144375409997604	0.0288750819995209
fisher	1	Met_vs_Normal	210671	0.0096197740938862	0.0288750819995209
fisher	1	Met_vs_Normal	210717	0.0096197740938862	0.0288750819995209
fisher	1	Met_vs_Normal	1109	0.0361444620981044	0.0602407701635073
fisher	1	Met_vs_Normal	1059	0.0361444620981044	0.0602407701635073
fisher	1	Met_vs_Normal	12724	0.0589622468319654	0.084231781188522
fisher	1	Met_vs_Normal	12764	0.0589622468319654	0.084231781188522
fisher	1	Met_vs_Normal	291312	0.1639999837163502	0.2049999796454378
fisher	1	Met_vs_Normal	291318	0.1639999837163502	0.2049999796454378
fisher	1	Met_vs_Normal	10438	0.2560882208270019	0.2845424675855577
fisher	1	Met_vs_Normal	10442	0.2560882208270019	0.2845424675855577
fisher	1	Met_vs_Normal	86600	0.6872336117118446	0.6872336117118446
fisher	1	Met_vs_Normal	86659	0.6872336117118446	0.6872336117118446
fisher	1	Met_vs_StageI	122268	6.588633999921364e-05	0.0006588633999921
fisher	1	Met_vs_StageI	122315	6.588633999921364e-05	0.0006588633999921
fisher	1	Met_vs_StageI	1109	0.03196845795518	0.1065615265172667
fisher	1	Met_vs_StageI	1059	0.03196845795518	0.1065615265172667
fisher	1	Met_vs_StageI	114593	0.029107429088592	0.1065615265172667
fisher	1	Met_vs_StageI	114596	0.029107429088592	0.1065615265172667
fisher	1	Met_vs_StageI	161465	0.0759423367380755	0.1742165663972302
fisher	1	Met_vs_StageI	161415	0.0759423367380755	0.1742165663972302
fisher	1	Met_vs_StageI	210671	0.0871082831986151	0.1742165663972302
fisher	1	Met_vs_StageI	210717	0.0871082831986151	0.1742165663972302
fisher	1	Met_vs_StageI	86659	0.6875219111968541	0.7639132346631713
fisher	1	Met_vs_StageI	86600	0.6875219111968541	0.7639132346631713
fisher	1	Met_vs_StageI	291312	0.6469390126655857	0.7639132346631713
fisher	1	Met_vs_StageI	291318	0.6469390126655857	0.7639132346631713
fisher	1	Met_vs_StageI	10438	0.6536996449240713	0.7639132346631713
fisher	1	Met_vs_StageI	10442	0.6536996449240713	0.7639132346631713
fisher	1	Met_vs_StageI	267672	0.5219415309003883	0.7639132346631713
fisher	1	Met_vs_StageI	267674	0.5219415309003883	0.7639132346631713
fisher	1	Met_vs_StageI	12764	0.9044499604027848	0.9044499604027848
fisher	1	Met_vs_StageI	12724	0.9044499604027848	0.9044499604027848
fisher	1	Normal_vs_StageI	122268	1.0161731157570734e-20	1.0161731157570734e-19
fisher	1	Normal_vs_StageI	122315	1.0161731157570734e-20	1.0161731157570734e-19
fisher	1	Normal_vs_StageI	267672	0.0012183246354986	0.0060916231774933
fisher	1	Normal_vs_StageI	267674	0.0012183246354986	0.0060916231774933
fisher	1	Normal_vs_StageI	12764	0.0060048295684581	0.0150120739211453
fisher	1	Normal_vs_StageI	12724	0.0060048295684581	0.0150120739211453
fisher	1	Normal_vs_StageI	291318	0.0046032168301275	0.0150120739211453
fisher	1	Normal_vs_StageI	291312	0.0046032168301275	0.0150120739211453
fisher	1	Normal_vs_StageI	114593	0.0162112900431253	0.0324225800862506
fisher	1	Normal_vs_StageI	114596	0.0162112900431253	0.0324225800862506
fisher	1	Normal_vs_StageI	161415	0.2525687307884168	0.315710913485521
fisher	1	Normal_vs_StageI	161465	0.2525687307884168	0.315710913485521
