dataset	min_molecules	pre_registered	n	atlas_agreement_precision	recall_detected_genes	F1_detected_genes
mouse1	1	False	52792	0.568647	0.280639	0.375808
mouse1	2	True	26255	0.745001	0.204790	0.321268
mouse1	3	False	19703	0.800944	0.171740	0.282834
mouse1	5	False	14194	0.848457	0.135264	0.233329
mouse1	10	False	9449	0.885385	0.097817	0.176170
mouse2	1	False	51842	0.587998	0.282628	0.381759
mouse2	2	True	26526	0.757219	0.208002	0.326357
mouse2	3	False	20013	0.809524	0.175055	0.287861
mouse2	5	False	14572	0.856574	0.139573	0.240035
mouse2	10	False	9835	0.892120	0.101858	0.182840
pbmc	1	False	167565	0.351965	0.268472	0.304601
pbmc	2	True	46524	0.706195	0.175443	0.281060
pbmc	3	False	29814	0.835815	0.141936	0.242663
pbmc	5	False	20320	0.907431	0.112171	0.199661
pbmc	10	False	13560	0.941224	0.082799	0.152208
