panel	plotted	dataset	tool	call_set	short	replicate	role	cutoff_bp	n	n_matched	atlas_agreement_precision_100bp	recall_detected_genes_100bp	R_det_denominator	recall_full_atlas_100bp	R_full_denominator	F1_detected_genes_100bp	null_P_seed1	null_P_seed2	null_P_seed3	null_P_mean	source
a	True	pbmc_10k_v3	scUTRquant	scUTRquant (catalog)	scUTRquant*	single	catalog	100	40519	32115	0.792591	0.177663	285136	0.093730	569005	0.290262	0.021545	0.022533	0.021792	0.021957	results/benchmark_tools/pbmc_10k_v3/scutrquant/score_scutrquant.tsv
a	True	pbmc_10k_v3	SCAPTURE	SCAPTURE	SCAPTURE	single	competitor	100	35759	23308	0.651808	0.117561	285136	0.067537	569005	0.199196	0.022176	0.022232	0.022819	0.022409	results/benchmark_tools/pbmc_10k_v3/scapture/score_scapture.tsv
a	True	pbmc_10k_v3	polyApipe	polyApipe	polyApipe	single	competitor	100	120916	45944	0.379966	0.198796	285136	0.118790	569005	0.261026	0.022007	0.021966	0.023206	0.022393	results/benchmark_tools/pbmc_10k_v3/polyapipe/score_polyapipe.tsv
a	True	pbmc_10k_v3	Sierra	Sierra	Sierra	single	competitor	100	106170	27164	0.255854	0.135006	285136	0.071873	569005	0.176748	0.022568	0.021371	0.022699	0.022213	results/benchmark_tools/pbmc_10k_v3/sierra/score_sierra.tsv
a	True	pbmc_10k_v3	scAPAtrap	scAPAtrap	scAPAtrap	single	competitor	100	787138	78650	0.099919	0.300376	285136	0.181452	569005	0.149956	0.022888	0.022295	0.022643	0.022609	results/benchmark_tools/pbmc_10k_v3/scapatrap/score_scapatrap.tsv
	False	pbmc_10k_v3	PeakATail	PeakATail shipped (pre-fix caller)	shipped	single	path0	100	277111	32571	0.117538	0.156189	285136	0.079959	569005	0.134134	0.022962	0.022417	0.022857	0.022745	results/benchmark_tools/pbmc_10k_v3/peakatail/score_peakatail.tsv
	False	pbmc_10k_v3	PeakATail	PeakATail both tiers, no IP filter	both tiers (no IP)	single	path1	100	402765	77832	0.193244	0.336338	285136	0.172081	569005	0.245459	0.022909	0.022067	0.022681	0.022552	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2/score_pbmc_final_v2.tsv
	False	pbmc_10k_v3	PeakATail	PeakATail tier-1 >=1 molecule, no IP filter	tier-1 >=1 mol (no IP)	single	path2	100	222955	67610	0.303245	0.296964	285136	0.151707	569005	0.300071	0.022632	0.021995	0.022767	0.022465	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2/score_pbmc_final_v2__tier1.tsv
a	True	pbmc_10k_v3	PeakATail	PeakATail tier-1 >=1 molecule, IP filter	tier-1 >=1 mol (IP)	single	path3	100	167565	58977	0.351965	0.268472	285136	0.137132	569005	0.304601	0.021633	0.021932	0.022344	0.021970	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/score_pbmc_final_v2_ipfilt__tier1.tsv
a	True	pbmc_10k_v3	PeakATail	PeakATail precision default (tier-1, IP, >=2 molecules; pre-registered)	precision default (tier-1, IP, >=2 mol)	single	path4	100	46524	32855	0.706195	0.175443	285136	0.088908	569005	0.281060	0.021666	0.021666	0.021731	0.021688	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/score_pbmc_final_v2_ipfilt__PRESPEC_precision_default.tsv
	False	pbmc_10k_v3	PeakATail	PeakATail both tiers, IP filter	both tiers (IP)	single	extra	100	333920	68261	0.204423	0.304255	285136	0.155642	569005	0.244543	0.022763	0.022356	0.022865	0.022661	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/score_pbmc_final_v2_ipfilt.tsv
	False	pbmc_10k_v3	PeakATail	PeakATail tier-2 (coverage-only), IP filter	tier-2 (IP)	single	extra	100	166355	9284	0.055808	0.035951	285136	0.018596	569005	0.043731	0.022452	0.021839	0.022590	0.022294	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/score_pbmc_final_v2_ipfilt__tier2.tsv
