panel	dataset	tool	N	atlas_agreement_precision_100bp	recall_detected_genes_100bp	F1_detected_genes_100bp	plotted	source	is_native_budget
c	pbmc_10k_v3	PeakATail	9456	0.952700	0.060900	0.114500	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	PeakATail	13560	0.941200	0.082800	0.152200	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	PeakATail	14939	0.935800	0.089600	0.163500	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	PeakATail	20320	0.907400	0.112200	0.199700	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	PeakATail	24043	0.879700	0.124800	0.218600	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	PeakATail	29814	0.835800	0.141900	0.242700	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	PeakATail	35759	0.757900	0.150700	0.251500	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	PeakATail	40519	0.726300	0.161300	0.264000	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	PeakATail	46524	0.706200	0.175400	0.281100	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	True
c	pbmc_10k_v3	PeakATail	106170	0.426900	0.220400	0.290700	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	PeakATail	120916	0.403600	0.233600	0.295900	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	PeakATail	167565	0.352000	0.268500	0.304600	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	PeakATail	333920	0.204400	0.304300	0.244500	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	polyApipe	9456	0.967100	0.058700	0.110600	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	polyApipe	13560	0.948300	0.077700	0.143700	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	polyApipe	14939	0.939500	0.083200	0.152800	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	polyApipe	20320	0.870800	0.098800	0.177500	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	polyApipe	24043	0.827700	0.107700	0.190600	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	polyApipe	29814	0.743800	0.116000	0.200600	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
c	pbmc_10k_v3	polyApipe	35759	0.686100	0.124500	0.210800	True	results/perf_gap/D3_head_to_head/tsv/01d_matched_n_headline_pbmc.tsv	False
