panel	plotted	tool	dataset	arm	min_molecules	pre_registered	cutoff_bp	n	n_matched	atlas_agreement_precision	recall_detected_genes	recall_detected_denominator	recall_full_atlas	recall_full_denominator	F1_detected_genes	null_P_seed1	null_P_seed2	null_P_seed3	null_P_mean	source
a	True	PeakATail v2 (IP arm)	pbmc	v2 IP arm, >=1 molecules	1	False	100	167565	58977	0.351965	0.268472	285136	0.137132	569005	0.304601	0.021633	0.021932	0.022344	0.021970	fig3_trade_repro_work/pbmc/score_pbmc_ge1mol.tsv (recomputed by score_tool.py)
a	True	PeakATail v2 (IP arm)	pbmc	v2 IP arm, >=2 molecules	2	True	100	46524	32855	0.706195	0.175443	285136	0.088908	569005	0.281060	0.021666	0.021666	0.021731	0.021688	fig3_trade_repro_work/pbmc/score_pbmc_ge2mol.tsv (recomputed by score_tool.py)
a	True	PeakATail v2 (IP arm)	pbmc	v2 IP arm, >=3 molecules	3	False	100	29814	24919	0.835815	0.141936	285136	0.071748	569005	0.242663	0.021500	0.022573	0.022171	0.022081	fig3_trade_repro_work/pbmc/score_pbmc_ge3mol.tsv (recomputed by score_tool.py)
a	True	PeakATail v2 (IP arm)	pbmc	v2 IP arm, >=5 molecules	5	False	100	20320	18439	0.907431	0.112171	285136	0.056562	569005	0.199661	0.020079	0.021604	0.021654	0.021112	fig3_trade_repro_work/pbmc/score_pbmc_ge5mol.tsv (recomputed by score_tool.py)
a	True	PeakATail v2 (IP arm)	pbmc	v2 IP arm, >=10 molecules	10	False	100	13560	12763	0.941224	0.082799	285136	0.041652	569005	0.152208	0.022050	0.019764	0.022493	0.021436	fig3_trade_repro_work/pbmc/score_pbmc_ge10mol.tsv (recomputed by score_tool.py)
b	True	PeakATail v2 (IP arm)	mouse1	v2 IP arm, >=1 molecules	1	False	100	52792	30020	0.568647	0.280639	126686	0.136612	301006	0.375808	0.015192	0.014245	0.014055	0.014497	fig3_trade_repro_work/mouse1/score_mouse1_ge1mol.tsv (recomputed by score_tool.py)
b	True	PeakATail v2 (IP arm)	mouse1	v2 IP arm, >=2 molecules	2	True	100	26255	19560	0.745001	0.204790	126686	0.097656	301006	0.321268	0.014892	0.012950	0.013940	0.013927	fig3_trade_repro_work/mouse1/score_mouse1_ge2mol.tsv (recomputed by score_tool.py)
b	True	PeakATail v2 (IP arm)	mouse1	v2 IP arm, >=3 molecules	3	False	100	19703	15781	0.800944	0.171740	126686	0.081271	301006	0.282834	0.015328	0.013196	0.014313	0.014279	fig3_trade_repro_work/mouse1/score_mouse1_ge3mol.tsv (recomputed by score_tool.py)
b	True	PeakATail v2 (IP arm)	mouse1	v2 IP arm, >=5 molecules	5	False	100	14194	12043	0.848457	0.135264	126686	0.063952	301006	0.233329	0.016345	0.013386	0.015288	0.015006	fig3_trade_repro_work/mouse1/score_mouse1_ge5mol.tsv (recomputed by score_tool.py)
b	True	PeakATail v2 (IP arm)	mouse1	v2 IP arm, >=10 molecules	10	False	100	9449	8366	0.885385	0.097817	126686	0.046095	301006	0.176170	0.015981	0.013864	0.013864	0.014570	fig3_trade_repro_work/mouse1/score_mouse1_ge10mol.tsv (recomputed by score_tool.py)
b	True	PeakATail v2 (IP arm)	mouse2	v2 IP arm, >=1 molecules	1	False	100	51842	30483	0.587998	0.282628	126686	0.138180	301006	0.381759	0.014448	0.013541	0.013715	0.013901	fig3_trade_repro_work/mouse2/score_mouse2_ge1mol.tsv (recomputed by score_tool.py)
b	True	PeakATail v2 (IP arm)	mouse2	v2 IP arm, >=2 molecules	2	True	100	26526	20086	0.757219	0.208002	126686	0.099503	301006	0.326357	0.013722	0.012667	0.014966	0.013785	fig3_trade_repro_work/mouse2/score_mouse2_ge2mol.tsv (recomputed by score_tool.py)
b	True	PeakATail v2 (IP arm)	mouse2	v2 IP arm, >=3 molecules	3	False	100	20013	16201	0.809524	0.175055	126686	0.083178	301006	0.287861	0.015040	0.013291	0.013141	0.013824	fig3_trade_repro_work/mouse2/score_mouse2_ge3mol.tsv (recomputed by score_tool.py)
b	True	PeakATail v2 (IP arm)	mouse2	v2 IP arm, >=5 molecules	5	False	100	14572	12482	0.856574	0.139573	126686	0.065965	301006	0.240035	0.015646	0.013862	0.013999	0.014502	fig3_trade_repro_work/mouse2/score_mouse2_ge5mol.tsv (recomputed by score_tool.py)
b	True	PeakATail v2 (IP arm)	mouse2	v2 IP arm, >=10 molecules	10	False	100	9835	8774	0.892120	0.101858	126686	0.047979	301006	0.182840	0.015658	0.012506	0.014947	0.014370	fig3_trade_repro_work/mouse2/score_mouse2_ge10mol.tsv (recomputed by score_tool.py)
