panel	plotted	tool	direction	window_bp	n_query	n_agree	concordance	chance_mean	jaccard_strand_aware	jaccard_intersect_bp	jaccard_union_bp	provenance	comparison	arithmetic_ceiling
c	True	PeakATail v2 default	mouse1->mouse2	25	26255	19343	0.736736	0.000432	0.551339	952481.000000	1727577.000000	recomputed by this script	testis mouse 1 vs mouse 2	
c	True	PeakATail v2 default	mouse2->mouse1	25	26526	19341	0.729134	0.000478	0.551339	952481.000000	1727577.000000	recomputed by this script	testis mouse 1 vs mouse 2	
c	True	PeakATail v2 default	mouse1->mouse2	100	26255	20447	0.778785	0.001714	0.603844	3700611.000000	6128418.000000	recomputed by this script	testis mouse 1 vs mouse 2	
c	True	PeakATail v2 default	mouse2->mouse1	100	26526	20577	0.775729	0.001872	0.603844	3700611.000000	6128418.000000	recomputed by this script	testis mouse 1 vs mouse 2	
c	True	PeakATail v2 tier-1 ≥1 mol	mouse1->mouse2	25	52792	29713	0.562831	0.000985	0.376442	1445959.000000	3841122.000000	recomputed by this script	testis mouse 1 vs mouse 2	
c	True	PeakATail v2 tier-1 ≥1 mol	mouse2->mouse1	25	51842	29713	0.573145	0.001106	0.376442	1445959.000000	3841122.000000	recomputed by this script	testis mouse 1 vs mouse 2	
c	True	PeakATail v2 tier-1 ≥1 mol	mouse1->mouse2	100	52792	33589	0.636252	0.003643	0.429758	5690206.000000	13240486.000000	recomputed by this script	testis mouse 1 vs mouse 2	
c	True	PeakATail v2 tier-1 ≥1 mol	mouse2->mouse1	100	51842	33727	0.650573	0.004038	0.429758	5690206.000000	13240486.000000	recomputed by this script	testis mouse 1 vs mouse 2	
c	False	PeakATail shipped (v1)	mouse1->mouse2	100	45907	34242	0.745899	0.003224				results/benchmark_tools/gse104556/depth_concordance.tsv (v1-era head-to-head run, verified in manuscript/05)	testis mouse 1 vs mouse 2	
c	False	PeakATail shipped (v1)	mouse2->mouse1	100	46654	34242	0.733956	0.003179				results/benchmark_tools/gse104556/depth_concordance.tsv (v1-era head-to-head run, verified in manuscript/05)	testis mouse 1 vs mouse 2	
c	True	polyApipe (v1)	mouse1->mouse2	100	89527	44217	0.493896	0.004833				results/benchmark_tools/gse104556/depth_concordance.tsv (v1-era head-to-head run, verified in manuscript/05)	testis mouse 1 vs mouse 2	
c	True	polyApipe (v1)	mouse2->mouse1	100	87983	44217	0.502563	0.005156				results/benchmark_tools/gse104556/depth_concordance.tsv (v1-era head-to-head run, verified in manuscript/05)	testis mouse 1 vs mouse 2	
c	True	Sierra (v1)	mouse1->mouse2	100	22550	17813	0.789933	0.001729				results/benchmark_tools/gse104556/depth_concordance.tsv (v1-era head-to-head run, verified in manuscript/05)	testis mouse 1 vs mouse 2	
c	True	Sierra (v1)	mouse2->mouse1	100	21335	17783	0.833513	0.001781				results/benchmark_tools/gse104556/depth_concordance.tsv (v1-era head-to-head run, verified in manuscript/05)	testis mouse 1 vs mouse 2	
c	True	scAPAtrap (v1)	mouse1->mouse2	100	135538	119809	0.883951	0.009439				results/benchmark_tools/gse104556/depth_concordance.tsv (v1-era head-to-head run, verified in manuscript/05)	testis mouse 1 vs mouse 2	
c	True	scAPAtrap (v1)	mouse2->mouse1	100	151140	119813	0.792729	0.008412				results/benchmark_tools/gse104556/depth_concordance.tsv (v1-era head-to-head run, verified in manuscript/05)	testis mouse 1 vs mouse 2	
c	True	PeakATail v2 default	donor2->donor1	25	20672	16811	0.813200	0.000400				results/benchmark_tools/pbmc4k_donor2/concordance.txt (pre-registered protocol of manuscript/26 §5, verifier FIXED)	PBMC 10k v3 (donor 1) vs pbmc4k (donor 2)	1.000000
c	True	PeakATail v2 default	donor2->donor1	100	20672	17413	0.842300	0.002333				results/benchmark_tools/pbmc4k_donor2/concordance.txt (pre-registered protocol of manuscript/26 §5, verifier FIXED)	PBMC 10k v3 (donor 1) vs pbmc4k (donor 2)	1.000000
c	True	PeakATail v2 default	donor1->donor2	25	46524	16811	0.361300	0.000267				results/benchmark_tools/pbmc4k_donor2/concordance.txt (pre-registered protocol of manuscript/26 §5, verifier FIXED)	PBMC 10k v3 (donor 1) vs pbmc4k (donor 2)	0.444330
c	True	PeakATail v2 default	donor1->donor2	100	46524	18577	0.399300	0.001067				results/benchmark_tools/pbmc4k_donor2/concordance.txt (pre-registered protocol of manuscript/26 §5, verifier FIXED)	PBMC 10k v3 (donor 1) vs pbmc4k (donor 2)	0.444330
c	False	PeakATail v2 tier-1 ≥1 mol	donor2->donor1	25	62911	31436	0.499700	0.002267				results/benchmark_tools/pbmc4k_donor2/concordance.txt (pre-registered protocol of manuscript/26 §5, verifier FIXED)	PBMC 10k v3 (donor 1) vs pbmc4k (donor 2)	1.000000
c	False	PeakATail v2 tier-1 ≥1 mol	donor2->donor1	100	62911	36205	0.575500	0.008600				results/benchmark_tools/pbmc4k_donor2/concordance.txt (pre-registered protocol of manuscript/26 §5, verifier FIXED)	PBMC 10k v3 (donor 1) vs pbmc4k (donor 2)	1.000000
c	False	PeakATail v2 tier-1 ≥1 mol	donor1->donor2	25	167565	31476	0.187800	0.000833				results/benchmark_tools/pbmc4k_donor2/concordance.txt (pre-registered protocol of manuscript/26 §5, verifier FIXED)	PBMC 10k v3 (donor 1) vs pbmc4k (donor 2)	0.375442
c	False	PeakATail v2 tier-1 ≥1 mol	donor1->donor2	100	167565	40129	0.239500	0.003167				results/benchmark_tools/pbmc4k_donor2/concordance.txt (pre-registered protocol of manuscript/26 §5, verifier FIXED)	PBMC 10k v3 (donor 1) vs pbmc4k (donor 2)	0.375442
