arm	run	seed	n_tests	n_pairs_tested	n_q_lt_fdr	n_pair_families_with_hit	frac_p_lt_05	frac_q_lt_fdr	min_pvalue	median_pvalue	hits_ES_vs_RS	hits_ES_vs_SPC	hits_RS_vs_SPC
A_fisher_reads	true		783	3	307	3	0.4508301404853129	0.39208173690932313	0.0	0.0804363597825885	101	98	108
A_fisher_reads	perm_01	1	177	3	3	1	0.1694915254237288	0.01694915254237288	7.38445436238528e-05	0.4192035377600792	3	0	0
A_fisher_reads	perm_02	2	264	3	10	3	0.16287878787878787	0.03787878787878788	2.1798355040225183e-06	0.398214973944491	2	4	4
A_fisher_reads	perm_03	3	312	3	42	3	0.266025641025641	0.1346153846153846	1.3929704888469392e-08	0.2253073335059794	8	6	28
A_fisher_reads	perm_04	4	273	3	32	3	0.24175824175824176	0.11721611721611722	1.6643332317456306e-07	0.3861868412714365	13	15	4
A_fisher_reads	perm_05	5	327	3	37	3	0.2018348623853211	0.11314984709480122	1.020673979698684e-05	0.3908958494099559	10	4	23
A_fisher_reads	perm_06	6	297	3	9	2	0.1919191919191919	0.030303030303030304	8.380235769981483e-12	0.3036957590742624	0	1	8
A_fisher_reads	perm_07	7	309	3	49	3	0.23624595469255663	0.15857605177993528	1.9029932637373115e-06	0.3092888265775141	19	14	16
A_fisher_reads	perm_08	8	495	3	15	3	0.1595959595959596	0.030303030303030304	3.465108863482893e-08	0.3468657175918668	6	8	1
A_fisher_reads	perm_09	9	345	3	25	3	0.21159420289855072	0.07246376811594203	3.16555712160441e-08	0.276526447129432	4	8	13
A_fisher_reads	perm_10	10	288	3	39	3	0.2222222222222222	0.13541666666666666	6.007115010193836e-06	0.2986029017077413	8	13	18
A_fisher_reads	perm_11	11	327	3	27	3	0.23547400611620795	0.08256880733944955	0.0001046388453386	0.343211651014455	10	13	4
A_fisher_reads	perm_12	12	372	3	2	1	0.1532258064516129	0.005376344086021506	0.0007459553167321	0.3853437500858595	0	0	2
A_fisher_reads	perm_13	13	315	3	28	2	0.24761904761904763	0.08888888888888889	7.563054074792623e-05	0.2736075951826375	18	10	0
A_fisher_reads	perm_14	14	348	3	29	3	0.23275862068965517	0.08333333333333333	6.553572464689127e-09	0.3142431080658482	6	9	14
A_fisher_reads	perm_15	15	387	3	16	3	0.165374677002584	0.041343669250646	2.5233049435374567e-15	0.4125745124060732	10	3	3
A_fisher_reads	perm_16	16	267	3	24	2	0.22846441947565543	0.0898876404494382	2.6419187861441186e-08	0.3249971882192594	7	0	17
A_fisher_reads	perm_17	17	270	3	20	3	0.1925925925925926	0.07407407407407407	2.4878240963608584e-06	0.3433236260392985	9	4	7
A_fisher_reads	perm_18	18	294	3	31	3	0.20748299319727892	0.1054421768707483	1.465529616961853e-07	0.333970957887966	15	12	4
A_fisher_reads	perm_19	19	348	3	38	3	0.1752873563218391	0.10919540229885058	2.1064249426184107e-14	0.41074563803581166	12	15	11
A_fisher_reads	perm_20	20	438	3	18	3	0.1872146118721461	0.0410958904109589	4.0235988922717575e-06	0.3165942318069729	4	4	10
B_fisher_cells	true		783	3	668	3	0.8582375478927203	0.8531289910600255	2.800710913752838e-130	8.853266274281811e-15	236	215	217
