arm	pair	n_null_tests	null_frac_p_lt_05	null_frac_q_lt_fdr	null_mean_hits_per_run	true_n_tests	true_q_hits
A_fisher_reads	ES_vs_RS	2151	0.18503021850302184	0.07624360762436076	8.2	261	101
A_fisher_reads	ES_vs_SPC	2151	0.19618781961878196	0.06648070664807067	7.15	261	98
A_fisher_reads	RS_vs_SPC	2151	0.22687122268712226	0.08693630869363086	9.35	261	108
B_fisher_cells	ES_vs_RS	2151	0.12831241283124128	0.011157601115760111	1.2	261	236
B_fisher_cells	ES_vs_SPC	2151	0.12552301255230125	0.007438400743840074	0.8	261	215
B_fisher_cells	RS_vs_SPC	2151	0.13668061366806136	0.010227801022780102	1.1	261	217
C_nb_pairwise	ES_vs_RS	11997	0.23805951487871968	0.010252563140785197	6.15	599	597
C_nb_pairwise	ES_vs_SPC	11996	0.25383461153717907	0.019756585528509504	11.85	599	565
C_nb_pairwise	RS_vs_SPC	11997	0.2484787863632575	0.008168708843877636	4.9	600	592
A0_fisher_reads_nomarker	ES_vs_RS	1430727	0.09552136780811434	0.006988055722719988	499.9	67219	11363
A0_fisher_reads_nomarker	ES_vs_SPC	1419070	0.09376493055310872	0.0065902316305749544	467.6	69809	15595
A0_fisher_reads_nomarker	RS_vs_SPC	1431361	0.09738563507039803	0.007259524326846966	519.55	71860	22965
B0_fisher_cells_nomarker	ES_vs_RS	1430727	0.03015809445128246	0.0	0.0	67219	12918
B0_fisher_cells_nomarker	ES_vs_SPC	1419070	0.029350912921843178	0.0	0.0	69809	21528
B0_fisher_cells_nomarker	RS_vs_SPC	1431361	0.03129538949293714	0.0	0.0	71860	25886
C0_nb_pairwise_nomarker	ES_vs_RS	707191	0.051321354485563304	0.0014295996413981513	50.55	16124	12139
C0_nb_pairwise_nomarker	ES_vs_SPC	670903	0.04993568369794143	0.0011626121808964932	39.0	13392	11408
C0_nb_pairwise_nomarker	RS_vs_SPC	713147	0.05146063854997637	0.0013896153247507175	49.55	28949	19580
