gene_id	symbol	m1_delta	m2_delta	m1_mono_short	m2_mono_short	category
ENSMUSG00000023051	Tarbp2	-0.8673331401526128	-0.8752701451065144	True	True	shorten in both
ENSMUSG00000074247	Dda1	-0.8052058921995313	-0.8718000742412749	True	True	shorten in both
ENSMUSG00000031774	Fam192a	-0.8870407004320158	-0.780240727629214	True	True	shorten in both
ENSMUSG00000057778	Cyb5d2	-0.7318721461187214	-0.8967452300785634	False	True	shorten in both
ENSMUSG00000028277	Ube2j1	-0.8332046332046332	-0.6937521633783316	True	True	shorten in both
ENSMUSG00000018238	Gdf9	-0.7860406878074678	-0.7278627251104315	True	True	shorten in both
ENSMUSG00000030638	Sh3gl3	-0.8041395348837209	-0.6939398689531932	True	True	shorten in both
ENSMUSG00000050821	Fam131a	-0.592063492063492	-0.9021645021645022	True	True	shorten in both
ENSMUSG00000032114	Slc37a4	-0.6587398373983739	-0.7907269723254853	True	True	shorten in both
ENSMUSG00000066500	Izumo2	-0.6302854809370012	-0.8144329896907216	True	True	shorten in both
ENSMUSG00000009076	Zmat5	-0.7422324510932106	-0.6987995198079231	True	True	shorten in both
ENSMUSG00000038612	Mcl1	-0.6662921348314607	-0.7719567254450975	True	True	shorten in both
ENSMUSG00000078139	AK157302	-0.698597211530237	-0.6876030350286336	True	True	shorten in both
ENSMUSG00000029718	Pcolce	-0.6871416871416871	-0.6539757412398921	True	True	shorten in both
ENSMUSG00000017119	Nbr1	-0.656877013002505	-0.6758169934640523	True	True	shorten in both
ENSMUSG00000021143	Pacs2	-0.5797101449275363	-0.7377049180327869	False	True	shorten in both
ENSMUSG00000027465	Tbc1d20	-0.597228624509352	-0.7125038061681673	True	True	shorten in both
ENSMUSG00000020368	Canx	-0.6140818492746787	-0.6615944547067323	True	True	shorten in both
ENSMUSG00000044792	Isca1	-0.6615127144251779	-0.5791615791615792	True	True	shorten in both
ENSMUSG00000035530	Eif1	-0.5868153531178245	-0.6157658272572512	True	True	shorten in both
ENSMUSG00000037275	Gemin5	-0.4122222222222222	-0.7341772151898734	True	True	shorten in both
ENSMUSG00000029623	Pdap1	-0.4823647768966741	-0.6524642364906611	True	True	shorten in both
ENSMUSG00000058586	Serhl	-0.5050505050505051	-0.61	True	True	shorten in both
ENSMUSG00000028394	Pole3	-0.4651370127102879	-0.6490548572542142	True	True	shorten in both
ENSMUSG00000020131	Pcsk4	-0.6555255052212456	-0.4536384096024006	True	True	shorten in both
ENSMUSG00000020037	Rfx4	-0.3735278498016307	-0.7066267066267067	True	False	shorten in both
ENSMUSG00000025575	Cant1	-0.4414550623505847	-0.6207703860765085	True	True	shorten in both
ENSMUSG00000063447	Ube2d2b	-0.479017799142523	-0.5830163102890376	True	True	shorten in both
ENSMUSG00000015363	Trabd	-0.5339905261810267	-0.4985678481919083	True	True	shorten in both
ENSMUSG00000017837	Nkiras2	-0.5031117203882054	-0.5256022090617702	True	True	shorten in both
ENSMUSG00000039568	Ubald1	-0.5179810644170988	-0.4769378131447096	True	True	shorten in both
ENSMUSG00000050844	1700020N01Rik	-0.4191632231404958	-0.5511917124066656	False	True	shorten in both
ENSMUSG00000026766	Mmadhc	-0.3390347129842928	-0.6229797885918932	True	True	shorten in both
ENSMUSG00000027517	Ankrd60	-0.4453482935951379	-0.5012699145693835	True	True	shorten in both
ENSMUSG00000037627	Rgs22	-0.3064382941317493	-0.6363636363636364	True	True	shorten in both
ENSMUSG00000033933	Vhl	-0.2455561926605504	-0.6891436891436891	True	True	shorten in both
ENSMUSG00000017132	Cyth1	-0.1098951208390332	-0.7387241272783441	False	True	shorten in both
ENSMUSG00000019804	Snx3	-0.4666666666666667	-0.3484758912230123	True	True	shorten in both
ENSMUSG00000048206	Dnajb8	-0.8115126098695926	0.0012903225806451	True	False	discordant
ENSMUSG00000072145	BC061237	-0.4751838235294118	-0.3134938664243525	True	True	shorten in both
ENSMUSG00000039220	Ppp1r10	-0.3744664634146342	-0.4125143909739811	False	False	shorten in both
ENSMUSG00000026511	Srp9	-0.3498668162063647	-0.4177398770158951	True	True	shorten in both
ENSMUSG00000020823	Sec14l1	-0.0930232558139534	-0.6415708182714426	True	False	shorten in both
ENSMUSG00000036478	Btg1	-0.005133683772643	-0.7245555738205387	False	True	shorten in both
