mouse	seed	direction	frac_fixed_gene_set	frac_free_guard	n_genes_fixed	n_genes_free	cell_cliffs_resid_SPC_ES
mouse1	1	shortening	0.1589147286821705	0.1706376219650555	1548	4407	-0.0612207713331308
mouse1	1	lengthening	0.1841085271317829	0.1754027683231223	1548	4407	-0.0612207713331308
mouse1	2	shortening	0.1569767441860465	0.1709655329833371	1548	4381	-0.0392499240813847
mouse1	2	lengthening	0.1905684754521963	0.1755307007532527	1548	4381	-0.0392499240813847
mouse1	3	shortening	0.1782945736434108	0.177894496460379	1548	4379	-0.0995748557546309
mouse1	3	lengthening	0.187984496124031	0.1781228591002512	1548	4379	-0.0995748557546309
mouse1	4	shortening	0.1750645994832041	0.1742009132420091	1548	4380	-0.0740662010324931
mouse1	4	lengthening	0.1776485788113695	0.1737442922374429	1548	4380	-0.0740662010324931
mouse1	5	shortening	0.1531007751937984	0.1555056179775281	1548	4450	-0.0047828727604009
mouse1	5	lengthening	0.1763565891472868	0.1575280898876404	1548	4450	-0.0047828727604009
mouse1	6	shortening	0.1782945736434108	0.1742719559734006	1548	4361	0.1080018220467657
mouse1	6	lengthening	0.167312661498708	0.1728961247420316	1548	4361	0.1080018220467657
mouse1	7	shortening	0.1892764857881137	0.1833256563795486	1548	4342	0.000698451260249
mouse1	7	lengthening	0.1847545219638243	0.1757254721326577	1548	4342	0.000698451260249
mouse1	8	shortening	0.1666666666666666	0.1645891043397968	1548	4332	0.0228363194655329
mouse1	8	lengthening	0.2009043927648579	0.1885964912280701	1548	4332	0.0228363194655329
mouse1	9	shortening	0.1640826873385013	0.1683685046516904	1548	4407	-0.0039629517157606
mouse1	9	lengthening	0.1789405684754522	0.1867483548899478	1548	4407	-0.0039629517157606
mouse1	10	shortening	0.1912144702842377	0.1874285714285714	1548	4375	0.0225933798967505
mouse1	10	lengthening	0.1744186046511628	0.1689142857142857	1548	4375	0.0225933798967505
mouse1	11	shortening	0.1808785529715762	0.1792260692464358	1548	4419	-0.0143334345581536
mouse1	11	lengthening	0.1744186046511628	0.1728897940710568	1548	4419	-0.0143334345581536
mouse1	12	shortening	0.167312661498708	0.1693420755143567	1548	4423	0.0858639538414818
mouse1	12	lengthening	0.1660206718346253	0.173185620619489	1548	4423	0.0858639538414818
mouse1	13	shortening	0.1757105943152454	0.1807613403236836	1548	4387	-0.0131794716064379
mouse1	13	lengthening	0.1698966408268734	0.1677684066560291	1548	4387	-0.0131794716064379
mouse1	14	shortening	0.1686046511627907	0.18327239488117	1548	4376	-0.0362435469177042
mouse1	14	lengthening	0.1724806201550387	0.1752742230347349	1548	4376	-0.0362435469177042
mouse1	15	shortening	0.1608527131782945	0.1707594361073215	1548	4398	-0.0728363194655329
mouse1	15	lengthening	0.1815245478036175	0.1805366075488858	1548	4398	-0.0728363194655329
mouse1	16	shortening	0.1937984496124031	0.1831784175923826	1548	4411	-0.0040388703310051
mouse1	16	lengthening	0.1640826873385013	0.1645885286783042	1548	4411	-0.0040388703310051
mouse1	17	shortening	0.2002583979328165	0.1879133409350057	1548	4385	-0.0374582447616155
mouse1	17	lengthening	0.1705426356589147	0.1762827822120866	1548	4385	-0.0374582447616155
mouse1	18	shortening	0.1828165374677002	0.1798315501934896	1548	4393	0.0470543577285149
mouse1	18	lengthening	0.1634366925064599	0.1711814249943091	1548	4393	0.0470543577285149
mouse1	19	shortening	0.1815245478036175	0.1732446076181734	1548	4358	0.0233070148800484
mouse1	19	lengthening	0.1886304909560723	0.1860945387792565	1548	4358	0.0233070148800484
mouse1	20	shortening	0.1614987080103359	0.1630409892374628	1548	4367	0.017795323413301
mouse1	20	lengthening	0.1750645994832041	0.1724295855278223	1548	4367	0.017795323413301
mouse2	1	shortening	0.1958333333333333	0.1970675944333996	1200	4024	-0.0403701051935893
mouse2	1	lengthening	0.205	0.2104870775347912	1200	4024	-0.0403701051935893
mouse2	2	shortening	0.2041666666666666	0.2032396861554037	1200	3951	-0.0323015916726331
mouse2	2	lengthening	0.2266666666666666	0.2234877246266768	1200	3951	-0.0323015916726331
mouse2	3	shortening	0.195	0.1973270440251572	1200	3816	0.0481357052376494
mouse2	3	lengthening	0.2291666666666666	0.2209119496855346	1200	3816	0.0481357052376494
mouse2	4	shortening	0.2191666666666666	0.209259743656814	1200	3823	-0.0526243322134714
mouse2	4	lengthening	0.1875	0.1956578603191211	1200	3823	-0.0526243322134714
mouse2	5	shortening	0.215	0.2196989027813217	1200	3919	0.0229112738888583
mouse2	5	lengthening	0.1925	0.1834651696861444	1200	3919	0.0229112738888583
mouse2	6	shortening	0.19	0.2089058524173028	1200	3930	0.0377815718455691
mouse2	6	lengthening	0.1983333333333333	0.204325699745547	1200	3930	0.0377815718455691
mouse2	7	shortening	0.2058333333333333	0.1989079563182527	1200	3846	-0.0063887206036239
mouse2	7	lengthening	0.1808333333333333	0.1926677067082683	1200	3846	-0.0063887206036239
mouse2	8	shortening	0.2083333333333333	0.2013167890605216	1200	3949	0.0700831635182024
mouse2	8	lengthening	0.195	0.2003038743985819	1200	3949	0.0700831635182024
mouse2	9	shortening	0.2425	0.2195058517555266	1200	3845	0.0727543096326486
mouse2	9	lengthening	0.1958333333333333	0.1955786736020806	1200	3845	0.0727543096326486
