mouse	stage	n_cells	median	q1	q3	p5	p95	minimum	maximum	median_n_genes_per_cell	row	comparison	n_a	n_b	cliffs_delta	mannwhitney_p	median_diff_b_minus_a	null_cliff_SPC_vs_ES_min	null_cliff_SPC_vs_ES_max	n_null_shuffles
mouse1	SPC	370.0	0.0017792185667786001	-0.006412597074281675	0.00822615296854345	-0.018838637389654606	0.017683871659244756	-0.0455681124484656	0.0559268405705933	292.5	per_stage_summary									
mouse1	RS	504.0	-0.0035956661015588	-0.009294242134667376	0.00210713707274065	-0.017683513978853135	0.01107313877874394	-0.0336495296057448	0.0234535204525374	326.0	per_stage_summary									
mouse1	ES	356.0	-0.011389414322639551	-0.019390761243872852	-0.003681119049212125	-0.0283763950349658	0.0079713169415744	-0.0381009974623766	0.0252993930310389	119.0	per_stage_summary									
mouse2	SPC	268.0	0.0030522513255851	-0.0016156315267310001	0.00804729520952865	-0.010762238152094674	0.014575438066330314	-0.0325591572460278	0.0361977814634034	365.0	per_stage_summary									
mouse2	RS	757.0	-0.0013878516982808	-0.0049948362414722	0.0034945193360216	-0.0124111012095992	0.010204675531267658	-0.0299081157422717	0.0600488444356735	322.0	per_stage_summary									
mouse2	ES	271.0	-0.0081325510526881	-0.01461844838398885	-0.00196019169731475	-0.02356483849946725	0.0074330859919214	-0.0369327940356867	0.0342031866750899	127.0	per_stage_summary									
mouse1											cliffs_delta	SPC_vs_RS	370.0	504.0	0.2573895323895323	7.6104622493151e-11	-0.005374884668337495			
mouse1											cliffs_delta	RS_vs_ES	504.0	356.0	0.4148385946138755	3.3165098066059547e-25	-0.007793748221080747			
mouse1											cliffs_delta	SPC_vs_ES	370.0	356.0	0.5543880959611296	3.257147475160364e-38	-0.013168632889418242	-0.0995748557546309	0.1080018220467657	20.0
mouse2											cliffs_delta	SPC_vs_RS	268.0	757.0	0.3173071235631617	1.0912352223708609e-14	-0.0044401030238660376			
mouse2											cliffs_delta	RS_vs_ES	757.0	271.0	0.46270722945010156	1.0953379343249358e-29	-0.006744699354407321			
mouse2											cliffs_delta	SPC_vs_ES	268.0	271.0	0.6324833397587708	5.58700217650031e-37	-0.011184802378273358	-0.077793688384645	0.0727543096326486	20.0
