panel	category	n	fraction	denominator	source
d	own-gene 3' UTR	3439	0.57789	5951	recomputed: /mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv vs /home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
d	other-gene 3' UTR	223	0.03747	5951	recomputed: /mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv vs /home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
d	exonic, not 3' UTR	814	0.13678	5951	recomputed: /mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv vs /home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
d	intronic (same-strand gene body)	1285	0.21593	5951	recomputed: /mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv vs /home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
d	outside any same-strand gene	190	0.03193	5951	recomputed: /mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv vs /home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
d	roll-up: any same-strand gene body	5761	0.96807	5951	recomputed: /mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv vs /home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
d	roll-up: exonic (any same-strand gene)	4476	0.75214	5951	recomputed: /mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv vs /home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
d	roll-up: any gene's 3' UTR	3662	0.61536	5951	recomputed: /mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv vs /home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
d	caveat: inside >=2 overlapping same-strand genes	544	0.09141	5951	recomputed: /mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv vs /home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
d	caveat: 3'UTR PAS assigned to a different gene	223	0.06090	5951	recomputed: /mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv vs /home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
