panel	bin_left	bin_right	n_replicated	below_effect_floor	source	note
retired_effect_histogram	0.0000	0.0200	0	True	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv (mean_effect_consensus, abs)	not plotted since 2026-09-02 (publication design pass); values quoted in the caption Legend
retired_effect_histogram	0.0200	0.0400	4	True	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv (mean_effect_consensus, abs)	not plotted since 2026-09-02 (publication design pass); values quoted in the caption Legend
retired_effect_histogram	0.0400	0.0600	32	True	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv (mean_effect_consensus, abs)	not plotted since 2026-09-02 (publication design pass); values quoted in the caption Legend
retired_effect_histogram	0.0600	0.0800	95	True	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv (mean_effect_consensus, abs)	not plotted since 2026-09-02 (publication design pass); values quoted in the caption Legend
retired_effect_histogram	0.0800	0.1000	160	True	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv (mean_effect_consensus, abs)	not plotted since 2026-09-02 (publication design pass); values quoted in the caption Legend
retired_effect_histogram	0.1000	0.1200	265	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv (mean_effect_consensus, abs)	not plotted since 2026-09-02 (publication design pass); values quoted in the caption Legend
retired_effect_histogram	0.1200	0.1400	320	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv (mean_effect_consensus, abs)	not plotted since 2026-09-02 (publication design pass); values quoted in the caption Legend
retired_effect_histogram	0.1400	0.1600	411	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv (mean_effect_consensus, abs)	not plotted since 2026-09-02 (publication design pass); values quoted in the caption Legend
retired_effect_histogram	0.1600	0.1800	516	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv (mean_effect_consensus, abs)	not plotted since 2026-09-02 (publication design pass); values quoted in the caption Legend
retired_effect_histogram	0.1800	0.2000	618	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv (mean_effect_consensus, abs)	not plotted since 2026-09-02 (publication design pass); values quoted in the caption Legend
retired_effect_histogram	0.2000	0.2200	676	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv (mean_effect_consensus, abs)	not plotted since 2026-09-02 (publication design pass); values quoted in the caption Legend
retired_effect_histogram	0.2200	0.2400	719	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv (mean_effect_consensus, abs)	not plotted since 2026-09-02 (publication design pass); values quoted in the caption Legend
retired_effect_histogram	0.2400	0.2600	782	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv (mean_effect_consensus, abs)	not plotted since 2026-09-02 (publication design pass); values quoted in the caption Legend
retired_effect_histogram	0.2600	0.2800	845	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv (mean_effect_consensus, abs)	not plotted since 2026-09-02 (publication design pass); values quoted in the caption Legend
retired_effect_histogram	0.2800	0.3000	877	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/pas_K2/replicated.tsv (mean_effect_consensus, abs)	not plotted since 2026-09-02 (publication design pass); values quoted in the caption Legend
