panel	pair	pair_label	n_patients_tested	n_gsm_tested	n_features	replicated_K2	replicated_K2_floor	replicated_K3	replicated_K3_floor	empirical_p_q	multi_patient	plotted_panel_b	source
b	B_cell_vs_Endothelial	B cell – Endothelial	1	1	32348	0	0	0	0	1.0	False	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	B_cell_vs_Epithelial	B cell – Epithelial	1	1	28482	0	0	0	0	1.0	False	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	B_cell_vs_Epithelial_Tumor	B cell – Epithelial Tumor	5	5	44039	1555	1476	378	367	0.0909090909090909	True	True	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	B_cell_vs_Fibroblast	B cell – Fibroblast	2	2	36797	58	58	0	0	0.0909090909090909	True	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	B_cell_vs_Macrophage	B cell – Macrophage	4	4	42054	932	901	196	188	0.0909090909090909	True	True	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	B_cell_vs_Mast	B cell – Mast	1	1	26750	0	0	0	0	1.0	False	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	B_cell_vs_Monocyte	B cell – Monocyte	2	2	32381	2	2	0	0	0.0909090909090909	True	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	B_cell_vs_NK	B cell – NK	2	2	34003	1	1	0	0	0.0909090909090909	True	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	B_cell_vs_Plasma_IG	B cell – Plasma IG	6	6	41790	129	123	39	39	0.0909090909090909	True	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	B_cell_vs_T_cell	B cell – T cell	7	7	45609	243	197	95	83	0.0909090909090909	True	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	B_cell_vs_Treg	B cell – Treg	5	5	39514	34	34	13	13	0.0909090909090909	True	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	Endothelial_vs_Epithelial_Tumor	Endothelial – Epithelial Tumor	3	3	42142	34	34	7	7	0.0909090909090909	True	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
b	Endothelial_vs_Fibroblast	Endothelial – Fibroblast	3	3	38933	15	15	3	3	0.0909090909090909	True	False	/mnt/ssd0/emaout/peakatail_benchmark/stage3_laughney_v3/replication/primary_noMetBone/per_pair_pas_K2.tsv + per_pair_pas_K3.tsv
