panel	record	metric	value	n_features	source
a	all_PAS_site_counts_275370	AMI_vs_celltype_res1.0	0.708000	275370	results/figures/manuscript/pbmc_novelty.tsv (verified ablation rows; 01 S4)
a	all_PAS_site_counts_275370	AMI_vs_celltype_k_matched_to_8_types	0.787800	275370	results/figures/manuscript/pbmc_novelty.tsv (verified ablation rows; 01 S4)
a	per_gene_totals_14891	AMI_vs_celltype_res1.0	0.697800	14891	results/figures/manuscript/pbmc_novelty.tsv (verified ablation rows; 01 S4)
a	per_gene_totals_14891	AMI_vs_celltype_k_matched_to_8_types	0.760200	14891	results/figures/manuscript/pbmc_novelty.tsv (verified ablation rows; 01 S4)
a	all_PAS_site_counts_275370	ARI_vs_celltype	0.502300	275370	results/figures/manuscript/pbmc_novelty.tsv (verified ablation rows; 01 S4)
a	delta_sites_minus_gene_totals	delta_AMI_res1.0	0.010200		results/figures/manuscript/pbmc_novelty.tsv (verified ablation rows; 01 S4)
b	GSM3516662-StageIA	AMI_celltype_vs_pas	0.763400		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516662-StageIA	ARI_celltype_vs_pas	0.544500		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516662-StageIA	coverage	0.313000		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516663-StageIA	AMI_celltype_vs_pas	0.661600		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516663-StageIA	ARI_celltype_vs_pas	0.573600		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516663-StageIA	coverage	0.659200		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516664-MetBone	AMI_celltype_vs_pas	0.366700		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516664-MetBone	ARI_celltype_vs_pas	0.226000		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516664-MetBone	coverage	0.683000		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516665-StageIVprimary	AMI_celltype_vs_pas	0.712400		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516665-StageIVprimary	ARI_celltype_vs_pas	0.493900		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516665-StageIVprimary	coverage	0.498000		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516666-Normal	AMI_celltype_vs_pas	0.533400		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516666-Normal	ARI_celltype_vs_pas	0.259100		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516666-Normal	coverage	0.409500		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516667-StageIA	AMI_celltype_vs_pas	0.579800		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516667-StageIA	ARI_celltype_vs_pas	0.440700		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516667-StageIA	coverage	0.694700		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516668-MetBrain	AMI_celltype_vs_pas	0.596600		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516668-MetBrain	ARI_celltype_vs_pas	0.371900		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516668-MetBrain	coverage	0.273900		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516669-StageIIA	AMI_celltype_vs_pas	0.652700		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516669-StageIIA	ARI_celltype_vs_pas	0.462700		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516669-StageIIA	coverage	0.325700		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516670-StageIB	AMI_celltype_vs_pas	0.682600		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
b	GSM3516670-StageIB	ARI_celltype_vs_pas	0.456400		/mnt/ssd2/Laugney_Aligned/peakatail_experiments/RERUN_2026-08_fixed/runs/B1_cohort_full/B2_gex_celltyping/concordance.csv (verified FIXED, 05 R2)
