panel	dataset	version	arm	ranking	metric	value	note	source_file
a	mouse1	prime	full		P@100	0.448787		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__mouse1__full/score_prime__mouse1__full.tsv
a	mouse1	prime	full		R_det@100	0.303372		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__mouse1__full/score_prime__mouse1__full.tsv
a	mouse1	shipped	full		P@100	0.369159		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/shipped__mouse1__full/score_shipped__mouse1__full.tsv
a	mouse1	shipped	full		R_det@100	0.197962		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/shipped__mouse1__full/score_shipped__mouse1__full.tsv
a	mouse1	v1	full		P@100	0.442531		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__mouse1__full/score_v1__mouse1__full.tsv
a	mouse1	v1	full		R_det@100	0.300562		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v1__mouse1__full/score_v1__mouse1__full.tsv
a	mouse1	v2	full		P@100	0.448787		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__mouse1__full/score_v2__mouse1__full.tsv
a	mouse1	v2	full		R_det@100	0.303372		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/v2__mouse1__full/score_v2__mouse1__full.tsv
a	mouse2	prime	full		P@100	0.453906		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__mouse2__full/score_prime__mouse2__full.tsv
a	mouse2	prime	full		R_det@100	0.305693		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/prime__mouse2__full/score_prime__mouse2__full.tsv
a	mouse2	shipped	full		P@100	0.367878		/mnt/ssd1/Projects/PeakATail_wd/results/prime_bench/fourway/scores/shipped__mouse2__full/score_shipped__mouse2__full.tsv
