panel	library	arm	slice	n_scored	atlas_agreement_precision_100bp	n_all_calls_scored	tier1_scored	source
a	PBMC 10k v3	final v2, no IP filter (peakatail_clipseeded_final_v2)	tier-2 (coverage-only)	179810	0.056849	402765	222955	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2/score_pbmc_final_v2__tier2.tsv
a	PBMC 10k v3	final v2, no IP filter (peakatail_clipseeded_final_v2)	tier-1 single-molecule	160845		402765	222955	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2/score_pbmc_final_v2__tier1.tsv minus default (n difference)
a	PBMC 10k v3	final v2, no IP filter (peakatail_clipseeded_final_v2)	tier-1 >=2 molecules, no IP -- POSTHOC, NOT the default	62110	0.590726	402765	222955	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2/score_pbmc_final_v2__tier1_ge2mol_noIP_POSTHOC.tsv
a	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	tier-2 (coverage-only)	166355	0.055808	333920	167565	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/score_pbmc_final_v2_ipfilt__tier2.tsv
a	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	tier-1 single-molecule	121041		333920	167565	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/score_pbmc_final_v2_ipfilt__tier1.tsv minus default (n difference)
a	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	pre-registered precision default (tier-1, IP, >=2 molecules)	46524	0.706195	333920	167565	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/score_pbmc_final_v2_ipfilt__PRESPEC_precision_default.tsv
a	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	tier-2 (coverage-only)	19191	0.119066	71983	52792	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/score_testis_m1_final_v2__tier2.tsv
a	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	tier-1 single-molecule	26537		71983	52792	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/score_testis_m1_final_v2__tier1.tsv minus default (n difference)
a	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	pre-registered precision default (tier-1, IP, >=2 molecules)	26255	0.745001	71983	52792	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/score_testis_m1_final_v2__PRESPEC_precision_default.tsv
a	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	tier-2 (coverage-only)	20466	0.114238	72308	51842	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/score_testis_m2_final_v2__tier2.tsv
a	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	tier-1 single-molecule	25316		72308	51842	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/score_testis_m2_final_v2__tier1.tsv minus default (n difference)
a	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	pre-registered precision default (tier-1, IP, >=2 molecules)	26526	0.757219	72308	51842	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/score_testis_m2_final_v2__PRESPEC_precision_default.tsv
