set	truth	shift	n	median_d	modal_10bp_bin_lo	frac_within_10	frac_within_25	bin_lo	bin_width_bp	pct_of_calls	source	panel
pbmc_tier2	atlas	0	7401	64	90	0.007200	0.017800	-200	20	0.200000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	0	7401	64	90	0.007200	0.017800	-180	20	0.430000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	0	7401	64	90	0.007200	0.017800	-160	20	0.410000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	0	7401	64	90	0.007200	0.017800	-140	20	0.320000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	0	7401	64	90	0.007200	0.017800	-120	20	0.550000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	0	7401	64	90	0.007200	0.017800	-100	20	0.430000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	0	7401	64	90	0.007200	0.017800	-80	20	0.490000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	0	7401	64	90	0.007200	0.017800	-60	20	0.500000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	0	7401	64	90	0.007200	0.017800	-40	20	0.680000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	0	7401	64	90	0.007200	0.017800	-20	20	0.760000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	0	7401	64	90	0.007200	0.017800	0	20	0.620000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	0	7401	64	90	0.007200	0.017800	20	20	0.530000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	0	7401	64	90	0.007200	0.017800	40	20	0.730000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	0	7401	64	90	0.007200	0.017800	60	20	0.810000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	0	7401	64	90	0.007200	0.017800	80	20	1.490000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	0	7401	64	90	0.007200	0.017800	100	20	0.970000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
pbmc_tier2	atlas	0	7401	64	90	0.007200	0.017800	120	20	0.970000	results/paramsweep/leadB/dist_pbmc_tier2.txt	f
