panel	library	arm	output	calls_per_gene_bin	n_genes	frac_genes	n_genes_total	mean_calls_per_gene	source
c	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	pre-registered precision default	1	3516	0.298244	11789	3.948087	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed + run/pas_gene.tsv + pas_PRESPEC_precision_default.bed
c	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	pre-registered precision default	2	2269	0.192468	11789	3.948087	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed + run/pas_gene.tsv + pas_PRESPEC_precision_default.bed
c	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	pre-registered precision default	3	1532	0.129952	11789	3.948087	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed + run/pas_gene.tsv + pas_PRESPEC_precision_default.bed
c	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	pre-registered precision default	4	1160	0.098397	11789	3.948087	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed + run/pas_gene.tsv + pas_PRESPEC_precision_default.bed
c	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	pre-registered precision default	5	794	0.067351	11789	3.948087	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed + run/pas_gene.tsv + pas_PRESPEC_precision_default.bed
c	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	pre-registered precision default	6	601	0.050980	11789	3.948087	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed + run/pas_gene.tsv + pas_PRESPEC_precision_default.bed
c	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	pre-registered precision default	7	438	0.037153	11789	3.948087	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed + run/pas_gene.tsv + pas_PRESPEC_precision_default.bed
c	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	pre-registered precision default	>=8	1479	0.125456	11789	3.948087	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed + run/pas_gene.tsv + pas_PRESPEC_precision_default.bed
c	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	pre-registered precision default	1	5174	0.453343	11413	2.301148	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed + run/pas_gene.tsv + pas_PRESPEC_precision_default.bed
c	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	pre-registered precision default	2	2703	0.236835	11413	2.301148	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed + run/pas_gene.tsv + pas_PRESPEC_precision_default.bed
c	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	pre-registered precision default	3	1502	0.131604	11413	2.301148	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed + run/pas_gene.tsv + pas_PRESPEC_precision_default.bed
c	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	pre-registered precision default	4	844	0.073951	11413	2.301148	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed + run/pas_gene.tsv + pas_PRESPEC_precision_default.bed
c	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	pre-registered precision default	5	491	0.043021	11413	2.301148	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed + run/pas_gene.tsv + pas_PRESPEC_precision_default.bed
c	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	pre-registered precision default	6	295	0.025848	11413	2.301148	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed + run/pas_gene.tsv + pas_PRESPEC_precision_default.bed
c	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	pre-registered precision default	7	154	0.013493	11413	2.301148	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed + run/pas_gene.tsv + pas_PRESPEC_precision_default.bed
c	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	pre-registered precision default	>=8	250	0.021905	11413	2.301148	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed + run/pas_gene.tsv + pas_PRESPEC_precision_default.bed
c	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	pre-registered precision default	1	5291	0.459368	11518	2.303612	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/run/pasbed.bed + run/pas_gene.tsv + pas_PRESPEC_precision_default.bed
c	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	pre-registered precision default	2	2617	0.227210	11518	2.303612	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/run/pasbed.bed + run/pas_gene.tsv + pas_PRESPEC_precision_default.bed
c	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	pre-registered precision default	3	1515	0.131533	11518	2.303612	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/run/pasbed.bed + run/pas_gene.tsv + pas_PRESPEC_precision_default.bed
c	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	pre-registered precision default	4	884	0.076749	11518	2.303612	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/run/pasbed.bed + run/pas_gene.tsv + pas_PRESPEC_precision_default.bed
