panel	library	arm	tier	clip_molecules_bin	n_calls	frac	frac_single_molecule	source
d	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	tier-1	1	121085	0.722339	0.722339	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed
d	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	tier-1	2	16718	0.099732	0.722339	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed
d	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	tier-1	3	6138	0.036617	0.722339	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed
d	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	tier-1	4	3362	0.020056	0.722339	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed
d	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	tier-1	5-9	6760	0.040327	0.722339	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed
d	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	tier-1	10-19	4500	0.026845	0.722339	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed
d	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	tier-1	>=20	9066	0.054084	0.722339	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed
d	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	tier-1	1	26544	0.502661	0.502661	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed
d	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	tier-1	2	6555	0.124131	0.502661	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed
d	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	tier-1	3	3388	0.064158	0.502661	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed
d	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	tier-1	4	2122	0.040184	0.502661	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed
d	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	tier-1	5-9	4745	0.089856	0.502661	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed
d	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	tier-1	10-19	3186	0.060333	0.502661	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed
d	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	tier-1	>=20	6267	0.118677	0.502661	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed
d	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	tier-1	1	25329	0.488392	0.488392	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/run/pasbed.bed
d	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	tier-1	2	6514	0.125603	0.488392	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/run/pasbed.bed
d	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	tier-1	3	3386	0.065289	0.488392	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/run/pasbed.bed
d	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	tier-1	4	2056	0.039644	0.488392	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/run/pasbed.bed
d	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	tier-1	5-9	4739	0.091377	0.488392	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/run/pasbed.bed
d	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	tier-1	10-19	3194	0.061587	0.488392	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/run/pasbed.bed
d	GSE104556 testis mouse 2	final v2, IP filter (peakatail_clipseeded_final_v2/mouse2)	tier-1	>=20	6644	0.128109	0.488392	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse2/run/pasbed.bed
