panel	library	arm	tier	width_bin_bp	n_calls	frac	median_width_bp	p90_width_bp	source
b	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	tier-2	1-49	1038	0.006239	371.000000	969.000000	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed
b	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	tier-2	50-99	3119	0.018747	371.000000	969.000000	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed
b	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	tier-2	100-149	7680	0.046161	371.000000	969.000000	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed
b	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	tier-2	150-199	15899	0.095561	371.000000	969.000000	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed
b	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	tier-2	200-299	36258	0.217928	371.000000	969.000000	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed
b	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	tier-2	300-399	25589	0.153802	371.000000	969.000000	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed
b	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	tier-2	400-599	33191	0.199494	371.000000	969.000000	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed
b	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	tier-2	600-799	17960	0.107948	371.000000	969.000000	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed
b	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	tier-2	800-1199	16043	0.096426	371.000000	969.000000	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed
b	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	tier-2	1200-1999	7885	0.047393	371.000000	969.000000	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed
b	PBMC 10k v3	final v2, IP filter (peakatail_clipseeded_final_v2_ipfilt)	tier-2	>=2000	1710	0.010278	371.000000	969.000000	results/benchmark_tools/pbmc_10k_v3/peakatail_clipseeded_final_v2_ipfilt/run/pasbed.bed
b	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	tier-2	1-49	1176	0.061260	259.000000	541.000000	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed
b	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	tier-2	50-99	1761	0.091733	259.000000	541.000000	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed
b	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	tier-2	100-149	1932	0.100641	259.000000	541.000000	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed
b	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	tier-2	150-199	1955	0.101839	259.000000	541.000000	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed
b	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	tier-2	200-299	4728	0.246288	259.000000	541.000000	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed
b	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	tier-2	300-399	3433	0.178830	259.000000	541.000000	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed
b	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	tier-2	400-599	2783	0.144971	259.000000	541.000000	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed
b	GSE104556 testis mouse 1	final v2, IP filter (peakatail_clipseeded_final_v2/mouse1)	tier-2	600-799	911	0.047455	259.000000	541.000000	results/benchmark_tools/gse104556/peakatail_clipseeded_final_v2/mouse1/run/pasbed.bed
