panel	record	metric	value	detail	source
a	dump_regime_real_band	P100_interval_dump	0.996-1.0	five strategies, spread<0.004; RETIRED	manuscript/07_curated_benchmark_report.md §1 (verified SOUND; retired-regime constant)
a	dump_regime_null_band	null_P100_interval_dump	0.62-0.75	width-matched shuffled peaks under the dump regime; RETIRED	manuscript/07_curated_benchmark_report.md §1 (verified SOUND; retired-regime constant)
a	retired_null_conflict	null_P100_interval_dump	0.615	chrom-shuffle, strand-matched closest (null_control); RETIRED, reconciled by score_tool.py's null	manuscript/05_figure_index.md R5 (FIXED record)
a	retired_null_conflict	null_P100_interval_dump	0.749	gene-body shuffle, strand-matched closest (null_control); RETIRED, reconciled by score_tool.py's null	manuscript/05_figure_index.md R5 (FIXED record)
a	retired_null_conflict	null_P100_interval_dump	0.753	genome shuffle, strand-agnostic window (benchmark_strategies); RETIRED, reconciled by score_tool.py's null	manuscript/05_figure_index.md R4/R5 (FIXED records; gap 7)
a	lg_annotate	P100_point_curated	0.447435	label lg	results/figures/manuscript/benchmark_curated.tsv (verified SOUND, 07 §2)
a	lp_annotate	P100_point_curated	0.492175	label lp	results/figures/manuscript/benchmark_curated.tsv (verified SOUND, 07 §2)
a	si_annotate	P100_point_curated	0.355438	label si	results/figures/manuscript/benchmark_curated.tsv (verified SOUND, 07 §2)
a	lg_ip_filter	P100_point_curated	0.457219	label lg+IP	results/figures/manuscript/benchmark_curated.tsv (verified SOUND, 07 §2)
a	B1_cohort_full	P100_point_curated	0.474511	label B1	results/figures/manuscript/benchmark_curated.tsv (verified SOUND, 07 §2)
a,b	curated_null_seed	null_P100_point_curated	0.021212	seed point 1/15 (5 arms x 3 seeds)	results/figures/manuscript/benchmark_curated.tsv (verified SOUND, 07 §2)
a,b	curated_null_seed	null_P100_point_curated	0.021035	seed point 2/15 (5 arms x 3 seeds)	results/figures/manuscript/benchmark_curated.tsv (verified SOUND, 07 §2)
a,b	curated_null_seed	null_P100_point_curated	0.023642	seed point 3/15 (5 arms x 3 seeds)	results/figures/manuscript/benchmark_curated.tsv (verified SOUND, 07 §2)
a,b	curated_null_seed	null_P100_point_curated	0.020028	seed point 4/15 (5 arms x 3 seeds)	results/figures/manuscript/benchmark_curated.tsv (verified SOUND, 07 §2)
a,b	curated_null_seed	null_P100_point_curated	0.022264	seed point 5/15 (5 arms x 3 seeds)	results/figures/manuscript/benchmark_curated.tsv (verified SOUND, 07 §2)
a,b	curated_null_seed	null_P100_point_curated	0.022264	seed point 6/15 (5 arms x 3 seeds)	results/figures/manuscript/benchmark_curated.tsv (verified SOUND, 07 §2)
