panel	strand	scope	cutoff_bp	covered_bp	denominator_bp	fraction	source
b	plus	genome	10	5766910	3088269832	0.001867	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	plus	gene_bodies	10	4841294	1795671991	0.002696	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	plus	genome	25	13709153	3088269832	0.004439	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	plus	gene_bodies	25	11470008	1795671991	0.006388	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	plus	genome	50	25782965	3088269832	0.008349	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	plus	gene_bodies	50	21393064	1795671991	0.011914	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	plus	genome	100	47888669	3088269832	0.015507	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	plus	gene_bodies	100	39289643	1795671991	0.021880	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	plus	genome	200	88265610	3088269832	0.028581	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	plus	gene_bodies	200	71454876	1795671991	0.039793	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	plus	genome	500	195066438	3088269832	0.063164	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	plus	gene_bodies	500	154727486	1795671991	0.086167	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	plus	genome	1000	347767241	3088269832	0.112609	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	plus	gene_bodies	1000	270656379	1795671991	0.150727	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	minus	genome	10	6162205	3088269832	0.001995	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	minus	gene_bodies	10	4966637	1795671991	0.002766	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	minus	genome	25	14740739	3088269832	0.004773	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	minus	gene_bodies	25	11846522	1795671991	0.006597	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	minus	genome	50	28142651	3088269832	0.009113	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	minus	gene_bodies	50	22458502	1795671991	0.012507	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	minus	genome	100	53203493	3088269832	0.017228	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	minus	gene_bodies	100	42035594	1795671991	0.023409	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	minus	genome	200	99859456	3088269832	0.032335	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	minus	gene_bodies	200	77966911	1795671991	0.043419	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
b	minus	genome	500	225065069	3088269832	0.072877	computed 2026-09-02 from data/references/atlases/polyasite2.GRCh38.96.rep_sites.bed6 (569,005 sites, provenance md5-logged in atlases/README.md) + chrom.sizes.nochr.filt + results/benchmark_tools/shared_refs/genebodies.merged.bed -- precondition (ii) recompute; dump-derived densities forbidden (05 R5)
