set	label	truth	umi_threshold	n_query	n_truth	n_hit	frac_hit	wilson95_lo	wilson95_hi	null_mean	null_sd	null_min	null_max	n_null_seeds	enrichment	empirical_p	meets_target_0_70
trusted_novel	trusted-novel (pre-registered)	t5	5	7259	537009	3523	0.485329	0.473842	0.49683	0.007411	0.000954	0.006475	0.009643	10	65.483271	0.090909	0
trusted_novel	trusted-novel (pre-registered)	t20	20	7259	95963	1737	0.239289	0.229614	0.24924	0.001336	0.000528	0.000689	0.00248	10	179.072165	0.090909	0
trusted_novel	trusted-novel (pre-registered)	t100	100	7259	19979	477	0.065712	0.060238	0.071644	0.0004	0.000301	0.0	0.000827	10	164.482759	0.090909	0
trusted_novel	trusted-novel (pre-registered)	t500	500	7259	5452	86	0.011847	0.009604	0.014607	0.000138	0.000215	0.0	0.000689	10	86.0	0.090909	0
trusted_novel_strong	trusted-novel, strong hexamer	t5	5	4329	537009	2175	0.502426	0.487536	0.517311	0.007161	0.001469	0.004389	0.009702	10	70.16129	0.090909	0
trusted_novel_strong	trusted-novel, strong hexamer	t20	20	4329	95963	1047	0.241857	0.229334	0.254838	0.001432	0.000358	0.000693	0.001848	10	168.870968	0.090909	0
trusted_novel_strong	trusted-novel, strong hexamer	t100	100	4329	19979	300	0.0693	0.06211	0.077254	0.000439	0.000368	0.0	0.000924	10	157.894737	0.090909	0
trusted_novel_strong	trusted-novel, strong hexamer	t500	500	4329	5452	55	0.012705	0.009774	0.0165	0.000185	0.000239	0.0	0.000693	10	68.75	0.090909	0
CAL_atlas_known_hexpass	atlas-known, hexamer-pass (calibration)	t5	5	28453	537009	25441	0.894141	0.890513	0.897663	0.007233	0.000269	0.006818	0.007627	10	123.620019	0.090909	1
CAL_atlas_known_hexpass	atlas-known, hexamer-pass (calibration)	t20	20	28453	95963	20122	0.707201	0.701886	0.71246	0.001191	0.000138	0.000949	0.001371	10	593.569322	0.090909	1
CAL_atlas_known_hexpass	atlas-known, hexamer-pass (calibration)	t100	100	28453	19979	11053	0.388465	0.382817	0.394143	0.000288	6.8e-05	0.000211	0.000387	10	1347.926829	0.090909	0
CAL_atlas_known_hexpass	atlas-known, hexamer-pass (calibration)	t500	500	28453	5452	4027	0.141532	0.13753	0.14563	6e-05	2.4e-05	0.0	7e-05	10	2368.823529	0.090909	0
CAL_default_output_all	full precision default	t5	5	46524	537009	35575	0.764659	0.760783	0.768492	0.007177	0.000344	0.006599	0.007802	10	106.543875	0.090909	1
CAL_default_output_all	full precision default	t20	20	46524	95963	25978	0.558378	0.553862	0.562886	0.001277	0.000188	0.00101	0.001634	10	437.340067	0.090909	0
CAL_default_output_all	full precision default	t100	100	46524	19979	13058	0.280672	0.276608	0.284773	0.000267	6.1e-05	0.00015	0.000344	10	1053.064516	0.090909	0
CAL_default_output_all	full precision default	t500	500	46524	5452	4540	0.097584	0.094921	0.100314	6.9e-05	3.5e-05	2.1e-05	0.000129	10	1418.75	0.090909	0
CAL_atlas_novel_hexfail	atlas-novel, hexamer-FAIL (diagnostic)	t5	5	6432	537009	3135	0.487407	0.475202	0.499626	0.006887	0.001154	0.005752	0.009484	10	70.767494	0.090909	0
CAL_atlas_novel_hexfail	atlas-novel, hexamer-FAIL (diagnostic)	t20	20	6432	95963	1663	0.258551	0.247997	0.269393	0.001119	0.000474	0.000466	0.002021	10	230.972222	0.090909	0
CAL_atlas_novel_hexfail	atlas-novel, hexamer-FAIL (diagnostic)	t100	100	6432	19979	454	0.070585	0.064578	0.077104	0.000311	0.000147	0.000155	0.000466	10	227.0	0.090909	0
CAL_atlas_novel_hexfail	atlas-novel, hexamer-FAIL (diagnostic)	t500	500	6432	5452	94	0.014614	0.011958	0.01785	0.000155	7.3e-05	0.0	0.000311	10	94.0	0.090909	0
SENS_min1_trusted_novel	>=1-molecule trusted-novel (sensitivity)	t5	5	40077	537009	11598	0.289393	0.284974	0.293853	0.007194	0.000356	0.006687	0.007785	10	40.228928	0.090909	0
SENS_min1_trusted_novel	>=1-molecule trusted-novel (sensitivity)	t20	20	40077	95963	3841	0.095841	0.092997	0.098761	0.00132	0.000217	0.000998	0.001722	10	72.608696	0.090909	0
SENS_min1_trusted_novel	>=1-molecule trusted-novel (sensitivity)	t100	100	40077	19979	632	0.01577	0.014596	0.017037	0.000304	6.3e-05	0.000225	0.000399	10	51.803279	0.090909	0
SENS_min1_trusted_novel	>=1-molecule trusted-novel (sensitivity)	t500	500	40077	5452	97	0.00242	0.001985	0.002951	7.7e-05	3.6e-05	2.5e-05	0.000125	10	31.290323	0.090909	0
