panel	dataset	series	mode	atlas_tier	cutoff_bp	replicate	n_query	n_matched	value
precision	lg_annotate	real	interval	full	50	0	22629	22558	0.996862
precision	lg_annotate	real	interval	full	100	0	22629	22596	0.998542
precision	lg_annotate	real	interval	full	200	0	22629	22604	0.998895
precision	lg_annotate	real	interval	full	500	0	22629	22616	0.999426
precision	lg_annotate	real	interval	full	1000	0	22629	22623	0.999735
precision	lg_annotate	real	interval	te_al_ex	50	0	22629	14283	0.631181
precision	lg_annotate	real	interval	te_al_ex	100	0	22629	14443	0.638252
precision	lg_annotate	real	interval	te_al_ex	200	0	22629	14755	0.652039
precision	lg_annotate	real	interval	te_al_ex	500	0	22629	15799	0.698175
precision	lg_annotate	real	interval	te_al_ex	1000	0	22629	16913	0.747404
precision	lg_annotate	real	interval	tpm1	50	0	22629	9338	0.412656
precision	lg_annotate	real	interval	tpm1	100	0	22629	11265	0.497813
precision	lg_annotate	real	interval	tpm1	200	0	22629	11294	0.499094
precision	lg_annotate	real	interval	tpm1	500	0	22629	11454	0.506165
precision	lg_annotate	real	interval	tpm1	1000	0	22629	11860	0.524106
precision	lg_annotate	real	point	full	50	0	22629	21642	0.956383
precision	lg_annotate	real	point	full	100	0	22629	22494	0.994034
precision	lg_annotate	real	point	full	200	0	22629	22570	0.997393
precision	lg_annotate	real	point	full	500	0	22629	22599	0.998674
precision	lg_annotate	real	point	full	1000	0	22629	22618	0.999514
precision	lg_annotate	real	point	te_al_ex	50	0	22629	10398	0.459499
precision	lg_annotate	real	point	te_al_ex	100	0	22629	10976	0.485041
precision	lg_annotate	real	point	te_al_ex	200	0	22629	11700	0.517036
precision	lg_annotate	real	point	te_al_ex	500	0	22629	13672	0.604180
precision	lg_annotate	real	point	te_al_ex	1000	0	22629	15679	0.692872
precision	lg_annotate	real	point	tpm1	50	0	22629	5430	0.239958
precision	lg_annotate	real	point	tpm1	100	0	22629	8463	0.373989
precision	lg_annotate	real	point	tpm1	200	0	22629	9259	0.409165
