branch	dataset_id	max_gene_distance	utr_multiplier	include_extended	method	resolution	n_neighbors	min_read	min_cells	min_pas_per_cell	final_cells	final_pas	input_pas	annotated_pas	n_clusters	pas_retention
A2_trim_d10000_ext	GSM3516669-StageIIA	10000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3517	23333	94320	76245	18	0.247381
A2_trim_d10000_ext	GSM3516664-MetBone	10000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	1352	13902	71051	57151	10	0.195662
A2_trim_d10000_ext	GSM3516666-Normal	10000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3001	25657	96373	77777	16	0.266226
A2_trim_d10000_ext	GSM3516662-StageIA	10000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3421	40366	123141	97103	15	0.327803
A2_trim_d10000_ext	GSM3516668-MetBrain	10000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	4281	18782	93012	71436	13	0.201931
A2_trim_d10000_ext	GSM3516665-StageIVprimary	10000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3659	37159	115386	93288	15	0.322041
A2_trim_d10000_ext	GSM3516670-StageIB	10000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	1052	27638	102294	80784	12	0.270182
A2_trim_d10000_ext	GSM3516667-StageIA	10000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	4170	21314	91160	69301	14	0.233809
A2_trim_d10000_ext	GSM3516671-MetBrain	10000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	1277	34820	113139	90714	13	0.307763
A2_trim_d10000_ext	GSM3516663-StageIA	10000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	4657	33870	113082	87286	14	0.299517
A2_trim_d10000_ext	GSM3516675-Normal	10000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	2661	29166	106586	80517	16	0.273638
A2_trim_d10000_ext	GSM3516676-Normal	10000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3315	34790	115076	88227	17	0.302322
A2_trim_d10000_ext	GSM3516673-Normal	10000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3979	27242	100293	80384	17	0.271624
A2_trim_d10000_ext	GSM3516678-MetBrain	10000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3246	17010	82043	61371	16	0.207330
A2_trim_d10000_ext	GSM3516677-MetAdrenal	10000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	2959	28417	104504	79146	13	0.271923
A2_trim_d10000_ext	GSM3516674-StageIA	10000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	4934	40364	123215	96836	17	0.327590
A2_trim_d10000_ext	GSM3516672-StageIB	10000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	4253	42615	126877	98342	17	0.335876
A2_trim_d1000_ext	GSM3516669-StageIIA	1000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3497	22270	94320	72741	17	0.236111
A2_trim_d1000_ext	GSM3516664-MetBone	1000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	1352	13278	71051	54422	10	0.186880
A2_trim_d1000_ext	GSM3516668-MetBrain	1000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	4230	17436	93012	66505	13	0.187460
A2_trim_d1000_ext	GSM3516662-StageIA	1000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3421	37889	123141	91084	16	0.307688
A2_trim_d1000_ext	GSM3516666-Normal	1000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3001	24466	96373	74096	16	0.253868
A2_trim_d1000_ext	GSM3516665-StageIVprimary	1000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3659	35452	115386	88897	15	0.307247
A2_trim_d1000_ext	GSM3516670-StageIB	1000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	1046	26062	102294	76388	12	0.254775
A2_trim_d1000_ext	GSM3516667-StageIA	1000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	4170	19998	91160	64971	14	0.219373
A2_trim_d1000_ext	GSM3516671-MetBrain	1000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	1277	33078	113139	86214	15	0.292366
A2_trim_d1000_ext	GSM3516663-StageIA	1000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	4657	31689	113082	81785	14	0.280230
A2_trim_d1000_ext	GSM3516675-Normal	1000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	2661	27156	106586	75012	15	0.254780
A2_trim_d1000_ext	GSM3516672-StageIB	1000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	4251	40043	126877	92358	17	0.315605
A2_trim_d1000_ext	GSM3516673-Normal	1000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3979	25604	100293	75558	17	0.255292
A2_trim_d1000_ext	GSM3516676-Normal	1000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3315	32734	115076	83106	16	0.284455
A2_trim_d1000_ext	GSM3516678-MetBrain	1000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3244	15840	82043	57094	16	0.193069
A2_trim_d1000_ext	GSM3516677-MetAdrenal	1000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	2956	26596	104504	74050	14	0.254497
A2_trim_d1000_ext	GSM3516674-StageIA	1000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	4931	38101	123215	91350	16	0.309224
A2_trim_d2000_ext	GSM3516664-MetBone	2000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	1352	13350	71051	54681	9	0.187893
A2_trim_d2000_ext	GSM3516669-StageIIA	2000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	3501	22378	94320	73111	17	0.237256
A2_trim_d2000_ext	GSM3516668-MetBrain	2000	2.000000	True	leiden_tfidf	1.000000	30	1500	3	50	4238	17585	93012	67027	14	0.189062
