mouse	pas_subset	depth	labels	n_cells	n_pas	n_genes	stages	wdi_rho	wdi_p	wdi_mean_Spermatocyte	wdi_sd_Spermatocyte	wdi_mean_RoundSpermatid	wdi_sd_RoundSpermatid	wdi_mean_Elongating	wdi_sd_Elongating	wdi_delta_last_minus_first	wdi_cliffs	wdi_cohens_d	wdi_monotone_down	wul_rho	wul_p	wul_mean_Spermatocyte	wul_sd_Spermatocyte	wul_mean_RoundSpermatid	wul_sd_RoundSpermatid	wul_mean_Elongating	wul_sd_Elongating	wul_delta_last_minus_first	wul_cliffs	wul_cohens_d	wul_monotone_down	wdi_partial_rho_depthadj	wdi_partial_p_depthadj	wdi_null_rho_absmax	wdi_mean_Spermatogonia	wdi_sd_Spermatogonia	wul_mean_Spermatogonia	wul_sd_Spermatogonia
mouse1	all	raw	PASlabels	1294	19962	5754	Spermatocyte,RoundSpermatid,Elongating	0.1385521374395832	5.633973580101168e-07	0.6792617180533684	0.0299524796963997	0.6950836532412514	0.0153591121176015	0.6907750409861042	0.0150237056002416	0.0115133229327357	0.2005108556832695	0.4709412998396355	False	0.2460791030449044	2.660792780791743e-19	26122.46582141218	3662.7102094685033	26422.8883703728	1748.6790727887085	27099.84391279472	2369.4434805309984	977.3780913825394	0.3304597701149425	0.3100679341099927	False	0.1152866937962712	3.270606051078442e-05	0.1033066367824013				
mouse1	all	raw	GEXlabels	1294	19962	5754	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	0.1640727310717414	2.9094150609812082e-09	0.6851010381497582	0.0255953040647785	0.6950435001787716	0.0152005104550379	0.6907676769942948	0.0151512850061587	0.0438743486701955	0.7708040730337078	2.31203582543939	False	0.2670695512606307	1.4288104730301598e-22	26554.352863891523	3672.231279877921	26443.175094207905	1722.732571516745	27072.745829972293	2380.326832371037	3531.3830755432573	0.7349894662921348	1.4924926508972602	False	0.1539592825881663	2.6699198972268704e-08	0.0849456525988318	0.6468933283240992	0.0331017316652748	23541.36275442903	2284.259711709004
mouse1	all	matched	PASlabels	1268	19962	5754	Spermatocyte,RoundSpermatid,Elongating	-0.1358590870457137	1.2004567407464425e-06	0.6982285640349144	0.0374693046474583	0.7089392638896028	0.0184090333992008	0.6979898667160934	0.0156402712244174	-0.0002386973188209	-0.1984063517450163	-0.0079543926987312	False	0.2691011006924297	1.7832977257773976e-22	26333.30518257609	4482.172397326989	28630.197847692827	3502.3923470236778	28236.02132550228	2653.3084787687803	1902.7161429261903	0.420674587307934	0.5010129977654403	False	-0.1085349733116514	0.0001091070922374	0.0860267056413621				
mouse1	all	matched	GEXlabels	1268	19962	5754	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	-0.0918438676299382	0.0010597516251537	0.7069577572132651	0.0289175029044257	0.7089648001464727	0.0179997327596674	0.6982396019886747	0.0158108044604548	0.053491229528874	0.7691468253968254	2.486251189114104	False	0.2772021381132179	8.391529794630896e-24	26604.442576833488	4551.633938504695	28682.72312748319	3486.6698919439136	28199.711358508757	2698.5504487697963	3641.782305898523	0.6165674603174602	1.2889979052940257	False	-0.0623892657026002	0.0264299184578434	0.0927041311032306	0.6447483724598004	0.0408871398331333	24557.929052610238	3457.8946828395733
mouse1	atlas	raw	PASlabels	1294	5510	2335	Spermatocyte,RoundSpermatid,Elongating	-0.7489805040522768	3.323504925782737e-233	0.6112398461665632	0.0226475925852373	0.574542010712498	0.0291493622017735	0.5382633949904011	0.023082392030205	-0.0729764511761621	-0.9741113239676458	-3.194760464739282	True	0.5325313067356529	1.1313953227963469e-95	22642.15104202489	4023.2243423084474	27634.40072552492	4988.279941552429	30131.830062892182	7836.35247498669	7489.67902086729	0.6736643252447849	1.2421517880913662	False	-0.7452632319213829	2.531586772060808e-229	0.068911574482398				
mouse1	atlas	raw	GEXlabels	1294	5510	2335	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	-0.7437925641945217	2.694104938069246e-228	0.610342894812917	0.0209103989485602	0.5742816108047031	0.0291479744385605	0.5392406870400944	0.0240123032024797	-0.0771871409945244	-0.9210849719101124	-3.0786273544756098	True	0.5175925069440989	1.3900792556796388e-89	22789.5756173927	3906.6172841788216	27684.784787537163	4919.923386878872	29973.854480520866	7891.97298711346	7858.207940808588	0.6450140449438202	1.045896908558053	False	-0.7318582508162724	4.143496016575131e-217	0.0875196723583629	0.6164278280346188	0.0303591929188473	22115.64653971228	4856.414769054035
mouse1	atlas	matched	PASlabels	320	5510	2335	Spermatocyte,RoundSpermatid	-0.7971441675892892	1.1737328209320718e-71	0.6218416246867889	0.0173938203677811	0.56386695501016	0.0269167053249732			-0.0579746696766289	-0.9270177106858434	-2.6235425286865683	True	0.588088450517533	3.7266483228266583e-31	22096.94521057964	3172.5357826671943	26394.542651464097	2772.5400368558558			4297.597440884456	0.6839018978564919	1.431097107213111	False	-0.700323392957056	3.4687871506160056e-48	0.1864670696762909				
mouse1	atlas	matched	GEXlabels	298	5510	2335	Spermatocyte,RoundSpermatid	-0.7989561998612618	2.4697395126773592e-67	0.6208013882687476	0.0160555856551084	0.563417172707233	0.0271277225972849			-0.0573842155615146	-0.9255565126717142	-2.62616610177187	True	0.5859012132315918	7.372440317205883e-29	22422.45182500076	3109.1733088884203	26560.276660898187	2543.571062366212			4137.824835897431	0.6787414426259237	1.445169775758517	False	-0.6562010230623733	7.849328095801098e-38	0.1558776656403333				
mouse1	noatlas	raw	PASlabels	1294	9545	2821	Spermatocyte,RoundSpermatid,Elongating	0.7452516403348545	1.1532381342394984e-229	0.5474414170727985	0.0410759434298611	0.6059305924832816	0.0255795493031335	0.6407570489929963	0.0356526093520023	0.0933156319201977	0.9271232439335888	2.4080870855745045	False	0.3288374100221241	5.24869769557767e-34	34107.6597196006	10550.442444641356	29585.501042480017	3917.889034250781	40910.785584896046	7341.400184793311	6803.125865295435	0.5861802894848871	0.7348675690524155	False	0.6305764337078281	3.6285185849124415e-144	0.079558466412408				
mouse1	noatlas	raw	GEXlabels	1294	9545	2821	Spermatogonia,Spermatocyte,RoundSpermatid,Elongating	0.743828734378041	2.4923129006884785e-228	0.5533213503629107	0.0381984318238765	0.605980986861202	0.0253752972708361	0.639793374840509	0.0362057965193701	0.1239072606862202	0.962693117977528	3.2969810211522086	False	0.3079818482144015	7.855234276562305e-30	33680.851101660795	10806.415672435838	29524.049366762836	3841.240995698725	40717.64411155653	7436.265083811234	4141.193704229641	0.3790379213483146	0.5458893640452336	False	0.6390492978590052	3.2083454404450694e-149	0.0685508267373801	0.5158861141542886	0.0445492343331906	36576.45040732689	8380.724600307269
