symbol	m1_delta	m2_delta	m1_mono	m2_mono	m1_npas	m2_npas	m1_wdi_Spermatocyte	m2_wdi_Spermatocyte	m1_wdi_RoundSpermatid	m2_wdi_RoundSpermatid	m1_wdi_Elongating	m2_wdi_Elongating	mean_delta
Boc	-0.9381386357359844	-0.9321839080459772	True	True	2	2	0.9803921568627452	0.9666666666666668	0.5073529411764706	0.583941605839416	0.0422535211267605	0.0344827586206896	-0.9351612718909807
Plekha3	-0.8556876061120543	-0.9183982683982684	True	True	2	2	0.8771929824561403	0.935064935064935	0.675	0.4912280701754385	0.021505376344086	0.0166666666666666	-0.8870429372551614
Cpq	-0.8226188863297657	-0.9448411721250924	True	True	2	2	0.9631147540983608	0.9770992366412212	0.3186813186813186	0.3909465020576131	0.140495867768595	0.032258064516129	-0.883730029227429
Pttg1ip	-0.8426167764403059	-0.8660457453535516	True	True	2	2	0.8644957983193278	0.8697033898305084	0.0931216931216931	0.0860346088228125	0.0218790218790218	0.0036576444769568	-0.8543312608969287
3110082I17Rik	-0.8353196099674972	-0.8509881422924901	False	False	2	2	0.8846153846153846	0.8727272727272727	0.91796875	0.8739837398373984	0.0492957746478873	0.0217391304347826	-0.8431538761299937
Ccdc157	-0.7270770334682999	-0.8614864864864865	True	True	2	2	0.7821229050279329	0.875	0.1232091690544412	0.1143250688705234	0.055045871559633	0.0135135135135135	-0.7942817599773933
Socs7	-0.7555674824674395	-0.7694078415269949	True	True	3	3	0.8094890510948906	0.7849117174959872	0.1631016042780748	0.2005494505494505	0.0539215686274509	0.0155038759689922	-0.7624876619972172
Wdr19	-0.7045496408178302	-0.8124699085219066	True	True	2	2	0.918032786885246	0.8870967741935484	0.8725490196078431	0.848605577689243	0.2134831460674157	0.0746268656716417	-0.7585097746698684
Sun1	-0.7974603174603174	-0.707403314917127	True	True	2	2	0.9085714285714286	0.8674033149171271	0.2170542635658914	0.1822600243013366	0.1111111111111111	0.16	-0.7524318161887222
Nt5c1b	-0.7185074604889787	-0.7388753176308068	True	True	2	2	0.7408513816280806	0.7571138211382114	0.0681060485791395	0.0467289719626168	0.0223439211391018	0.0182385035074045	-0.7286913890598927
Slc37a4	-0.6587398373983739	-0.7907269723254853	True	True	2	2	0.983739837398374	0.9962825278810408	0.9501385041551248	0.7875536480686696	0.325	0.2055555555555555	-0.7247334048619296
Cystm1	-0.7061795309311117	-0.7432492111731583	True	True	2	2	0.7956104252400549	0.7931937172774869	0.4324607329842932	0.342643391521197	0.089430894308943	0.0499445061043285	-0.7247143710521351
Tef	-0.7319587628865979	-0.6768574475648774	True	True	2	2	0.7319587628865979	0.711340206185567	0.0109890109890109	0.0439560439560439	0.0	0.0344827586206896	-0.7044081052257376
