	Spermatogonia	Spermatocyte	RoundSpermatid	Elongating	Sertoli	Leydig	Immune	mouse	assigned_stage	n_cells
1·10	-1.2570823088592549	0.4509646538712756	-1.124816157955183	-0.7727484146513345	-0.6205506819598247	0.9604002011397736	-0.999692194951564	mouse1	Spermatocyte	44
1·6	-1.1668651223369149	0.9233677162370352	-1.238185715137647	-1.3249314555387148	-0.4939893405857745	-0.7870009680400453	-0.7923973009797508	mouse1	Spermatocyte	60
1·7	-0.7158170107092225	0.2062102813959586	-0.4828126058090441	-0.8656131908319884	-0.3567125441457098	1.181537833622237	-0.6532638929426975	mouse1	Spermatocyte	148
1·8	-0.8855005293031782	0.5382317618639019	-1.070439114456952	-0.9674735727657228	-0.1258307006892023	0.394349922686573	-0.5924067974138981	mouse1	Spermatocyte	108
1·9	2.62900626595356	2.862626253970889	-1.3157468967786228	-0.9243636287212074	3.413621127714462	-2.5752576361360515	-1.432290234866735	mouse1	Spermatocyte	72
1·0	-0.1097350701905267	-0.8465145990656162	1.5739714729119472	0.528295759497164	-0.3664749666356515	-0.1327817007593031	0.3590536677721782	mouse1	RoundSpermatid	98
1·1	0.555169249135957	-0.4388642006324822	1.1525572227502412	-0.3693603182228918	-0.2299755146331057	-0.5936385402596054	-0.3830422836187022	mouse1	RoundSpermatid	143
1·2	1.0500504340015606	-0.6891403740759214	1.6025714126227537	-0.1034512006053423	-0.4021086815339294	-0.2263926628051325	-0.3441103091698225	mouse1	RoundSpermatid	91
1·4	-0.4145564846243082	-0.1996332113601943	0.4656359117788738	-0.6040812908883396	-0.3633555651733471	-0.228844830667304	-0.5430438733283414	mouse1	RoundSpermatid	182
1·11	0.1347608023010554	-0.5774422228154844	-0.4144255582169915	1.3674682452031557	-0.1697522092113417	1.572098010842513	1.3619482949595505	mouse1	Elongating	61
1·12	0.3843960680974319	-0.70317562348593	0.0467304233327856	1.4174535583717354	0.0257061507737847	0.376568481214543	1.95802717278506	mouse1	Elongating	99
1·3	-0.2870882855626906	-0.7668798056823083	0.4399524349619462	1.2448963701809286	-0.2458092489774735	-0.2755354501779428	0.886499838056338	mouse1	Elongating	95
1·5	0.0832619920965314	-0.7597506302211223	0.3650071699958909	1.3739091389725604	-0.0647678249428862	0.3344973393397451	1.174717913698385	mouse1	Elongating	93
2·10	2.502831440116139	2.9768659760542016	-1.4354665880860271	-0.9171564073009328	-0.1727016069242376	3.2011158357020366	-1.3477434333013616	mouse2	Spermatocyte	102
2·11	-1.17570734047479	0.3927694577477829	-1.1881873656789743	-0.9607830883086262	-0.7553016177136971	-0.5612064392511168	-0.4990968301963628	mouse2	Spermatocyte	78
2·8	-1.56143539255939	1.080846405084787	-1.4658599942229649	-1.2714753958825669	-1.2538031466408517	-0.9281166210434364	-0.8299857428018256	mouse2	Spermatocyte	94
2·9	-1.0324429243501214	0.3170673914765469	-0.8753237442442338	-0.908392319821696	-0.8560147868261834	-0.2164766917497265	-0.6071380205998439	mouse2	Spermatocyte	74
2·0	-0.1166797801527377	-0.4786613688711211	0.6569602933846835	-0.4575660822950442	-0.2568796062619052	-0.3224327493173385	-0.3438218035453261	mouse2	RoundSpermatid	187
2·1	-0.7885573622430049	-0.1757542715391262	0.0228223864361	-0.7144405437709688	-0.2957035934043608	0.4479468222765375	-0.5602581114692754	mouse2	RoundSpermatid	145
2·2	0.0212514023788986	-0.4966847398106062	0.925066904421252	-0.3376973296452885	-0.2404590133007909	-0.4826198845039001	-0.3427780878072242	mouse2	RoundSpermatid	78
2·3	0.6204962114427972	-0.5957206594586166	1.258707022295167	-0.1525142822126802	0.0027063475732853	-0.4039391039916112	-0.336592996370173	mouse2	RoundSpermatid	138
2·5	-0.1970823136705932	-0.6429489002963792	1.1186609968587309	1.0552981722591168	-0.5124313469151249	-0.6914446819476818	0.6184444985025588	mouse2	RoundSpermatid	91
2·6	0.5287749763198522	-0.7064084536876858	1.4408996605391435	0.1622864332415042	-0.6489667145405099	-0.4406858501795116	-0.0903780729603926	mouse2	RoundSpermatid	106
2·12	0.2553049125008989	-0.4916775048640737	-0.6027979549228014	1.3767896490907694	2.411773524703714	0.0767295852542667	2.6923159951782525	mouse2	Elongating	66
2·4	0.4800616051127384	-0.6327079968172372	0.2120751972913755	1.47223575852289	1.1145631266558678	-0.0621285862109016	0.4929581218324377	mouse2	Elongating	96
2·7	0.4631845655793126	-0.5469853350184715	-0.067556814071451	1.6534154361235245	1.4632184335947949	0.3832583649623834	1.154074483538536	mouse2	Elongating	109
