symbol	m1_delta	m2_delta	m1_mono	m2_mono	m1_npas	m2_npas	m1_wdi_Spermatocyte	m2_wdi_Spermatocyte	m1_wdi_RoundSpermatid	m2_wdi_RoundSpermatid	m1_wdi_Elongating	m2_wdi_Elongating	mean_delta
Ell	-0.914248366013072	-0.9601199893160198	True	True	2	2	0.96	0.9853300733496332	0.5488721804511278	0.4323529411764706	0.0457516339869281	0.0252100840336134	-0.937184177664546
Cyth3	-0.922456067326578	-0.93011306712466	True	True	3	3	0.963949843260188	0.937956204379562	0.6325966850828729	0.5120967741935484	0.0414937759336099	0.0078431372549019	-0.9262845672256192
Plekha3	-0.8556876061120543	-0.9183982683982684	True	True	2	2	0.8771929824561403	0.935064935064935	0.675	0.4912280701754385	0.021505376344086	0.0166666666666666	-0.8870429372551614
Brpf3	-0.8008960573476702	-0.9427322712533484	True	True	2	2	0.9731182795698924	0.976878612716763	0.7216494845360825	0.6611111111111111	0.1722222222222222	0.0341463414634146	-0.8718141643005093
Tnfaip2	-0.9397590361445785	-0.7976190476190477	True	True	2	2	0.9397590361445785	0.7976190476190477	0.1294964028776978	0.1388888888888889	0.0	0.0	-0.868689041881813
Eif4h	-0.8872993706228689	-0.8447121192573392	True	True	2	2	0.9028801071667782	0.8486646884272997	0.2292682926829268	0.1179245283018868	0.0155807365439093	0.0039525691699604	-0.8660057449401041
Rnf44	-0.8270198675496688	-0.8435471554028255	True	True	2	2	0.88	0.8796296296296297	0.3857142857142857	0.3082437275985663	0.0529801324503311	0.0360824742268041	-0.8352835114762471
Srpr	-0.8005994005994006	-0.8682615629984051	True	True	2	2	0.8285714285714286	0.8787878787878788	0.7254901960784313	0.5416666666666666	0.0279720279720279	0.0105263157894736	-0.8344304817989028
Wipi1	-0.8055712153871664	-0.8469996729888817	True	True	2	2	0.9405405405405406	0.920863309352518	0.768976897689769	0.7126245847176079	0.1349693251533742	0.0738636363636363	-0.8262854441880241
Cacnb1	-0.8049846253439068	-0.8209737827715355	True	True	2	2	0.8648648648648649	0.8876404494382022	0.6102941176470589	0.5356125356125356	0.059880239520958	0.0666666666666666	-0.8129792040577212
Mapk6	-0.8068850225992199	-0.8088971124778485	True	True	2	2	0.8714011516314779	0.8254716981132075	0.5198135198135199	0.4342403628117914	0.064516129032258	0.0165745856353591	-0.8078910675385342
Spata17	-0.7798546144386665	-0.782920054200542	True	True	3	3	0.8922577152138603	0.8886111111111111	0.3905829596412556	0.4307414489058848	0.1124031007751938	0.1056910569105691	-0.7813873343196043
Wdr19	-0.7045496408178302	-0.8124699085219066	True	True	2	2	0.918032786885246	0.8870967741935484	0.8725490196078431	0.848605577689243	0.2134831460674157	0.0746268656716417	-0.7585097746698684
Rhbdd1	-0.7735905939101598	-0.741916558018253	True	True	3	2	0.7897196261682243	0.7461538461538462	0.1068075117370892	0.0410557184750733	0.0161290322580645	0.0042372881355932	-0.7577535759642064
Ccdc157	-0.6912955918550011	-0.8220128022759602	True	True	3	3	0.7463414634146341	0.8355263157894737	0.1295774647887324	0.1200814111261872	0.055045871559633	0.0135135135135135	-0.7566541970654806
Lrriq3	-0.7370955007877189	-0.7431050759228345	True	True	2	2	0.8116846284741918	0.7732342007434945	0.3673870333988212	0.3379782711384034	0.0745891276864728	0.0301291248206599	-0.7401002883552767
