symbol	mouse	stage	site	usage
Atg12	mouse1	ES	distal	0.2826086956521739
Atg12	mouse1	ES	proximal	0.6086956521739131
Atg12	mouse1	RS	distal	0.1628498727735369
Atg12	mouse1	RS	proximal	0.7302798982188295
Atg12	mouse1	SPC	distal	0.6998158379373849
Atg12	mouse1	SPC	proximal	0.06537753222836096
Atg12	mouse2	ES	distal	0.01818181818181818
Atg12	mouse2	ES	proximal	0.12727272727272726
Atg12	mouse2	RS	distal	0.014871794871794871
Atg12	mouse2	RS	proximal	0.13435897435897437
Atg12	mouse2	SPC	distal	0.4607594936708861
Atg12	mouse2	SPC	proximal	0.08607594936708861
Bpgm	mouse1	ES	distal	0.05672823218997362
Bpgm	mouse1	ES	proximal	0.5620052770448549
Bpgm	mouse1	RS	distal	0.2595330739299611
Bpgm	mouse1	RS	proximal	0.3976653696498054
Bpgm	mouse1	SPC	distal	0.5966464834653005
Bpgm	mouse1	SPC	proximal	0.09268747088961342
Bpgm	mouse2	ES	distal	0.05066344993968637
Bpgm	mouse2	ES	proximal	0.6453558504221955
Bpgm	mouse2	RS	distal	0.3377638780297107
Bpgm	mouse2	RS	proximal	0.4300234558248632
Bpgm	mouse2	SPC	distal	0.8191796649335644
Bpgm	mouse2	SPC	proximal	0.1270941652224148
D1Ertd622e	mouse1	ES	distal	0.08450704225352113
D1Ertd622e	mouse1	ES	proximal	0.04225352112676056
D1Ertd622e	mouse1	RS	distal	0.03067484662576687
D1Ertd622e	mouse1	RS	proximal	0.5644171779141104
D1Ertd622e	mouse1	SPC	distal	0.0
D1Ertd622e	mouse1	SPC	proximal	0.6972789115646258
D1Ertd622e	mouse2	ES	distal	0.3333333333333333
D1Ertd622e	mouse2	ES	proximal	0.4166666666666667
D1Ertd622e	mouse2	RS	distal	0.023148148148148147
D1Ertd622e	mouse2	RS	proximal	0.7407407407407407
D1Ertd622e	mouse2	SPC	distal	0.0
D1Ertd622e	mouse2	SPC	proximal	0.6132075471698113
Rragc	mouse1	ES	distal	0.020242914979757085
Rragc	mouse1	ES	proximal	0.9230769230769231
Rragc	mouse1	RS	distal	0.6363636363636364
Rragc	mouse1	RS	proximal	0.32575757575757575
Rragc	mouse1	SPC	distal	0.9608843537414966
Rragc	mouse1	SPC	proximal	0.03571428571428571
Rragc	mouse2	ES	distal	0.01532567049808429
Rragc	mouse2	ES	proximal	0.9425287356321839
Rragc	mouse2	RS	distal	0.6351791530944625
Rragc	mouse2	RS	proximal	0.3322475570032573
Rragc	mouse2	SPC	distal	0.9415292353823088
Rragc	mouse2	SPC	proximal	0.029985007496251874
