tool	dataset	version	parameters	run_script	caveat
polyApipe	PBMC 10k v3 (human, 10x 3' v3, CellRanger 3.0.0)	polyApipe.py 0.1.0; featureCounts v2.1.1; UMI-tools version: 1.1.6; samtools 1.18	`--cell_barcode_tag CB --umi_tag UB -t 16`	`results/benchmark_tools/pbmc_10k_v3/polyapipe/run.sh`	Ran clean.
SCAPTURE	PBMC 10k v3 (human, 10x 3' v3, CellRanger 3.0.0)	SCAPTURE v1.0 (2021/01/25), git main clone 2026-08-18, /mnt/ssd1/Projects/PeakATail_wd/tools/SCAPTURE; samtools 1.9; bedtools v2.26.0; 2.1.4; featureCounts v1.6.4	`-m PAScall --species human -l 91 -p 16`; DeepPASS on CPU	`results/benchmark_tools/pbmc_10k_v3/scapture/run.sh`	Wall time 12:14 sums its two mandatory stages; the annotation prebuild is untimed.
Sierra	PBMC 10k v3 (human, 10x 3' v3, CellRanger 3.0.0)	Sierra 0.99.27; R 4.5.3	`FindPeaks`/`CountPeaks`, `ncores = 16`, GRCh38.99 GTF	`results/benchmark_tools/pbmc_10k_v3/sierra/run.sh`	Ran clean.
scAPAtrap	PBMC 10k v3 (human, 10x 3' v3, CellRanger 3.0.0)	scAPAtrap 0.2.0 / R 4.5.3	`readlength 91`; CellRanger filtered barcodes (11,769); `findUniqueMap` -> `dedupByPos` -> per-strand `findPeaksByStrand`	`results/benchmark_tools/pbmc_10k_v3/scapatrap/run.sh`	Wall time 4:04:29 is a RESUMED run after an OOM-killed first attempt; a from-scratch run is 12:58:50 total machine time. Disclosed, never summed.
scUTRquant	PBMC 10k v3 (human, 10x 3' v3, CellRanger 3.0.0)	scUTRquant pipeline v0.5.1 (Mayrlab/scUTRquant, git clone; SQ_VERSION in Snakefile); snakemake 7.32.4; git commit: d16056f33000fdc9bb7d1d74a78a73900f298f8c	`target utrome_hg38_v1`, `tech 10xv3`; min_umis and strand not recorded in this run's own version record	`results/benchmark_tools/pbmc_10k_v3/scutrquant/run.sh`	Wall time 30:45 SUMS two attempts (salvage rerun after exit 1).
polyApipe	GSE104556 testis (mouse, 10x 3' v2, STARsolo)	polyApipe.py 0.1.0; featureCounts v2.1.1; UMI-tools version: 1.1.6; samtools 1.18	`--cell_barcode_tag CB --umi_tag UB -t 16`	`results/benchmark_tools/gse104556/polyapipe/run.sh`	No retry or skipped stage recorded in the run log.
SCAPTURE	GSE104556 testis (mouse, 10x 3' v2, STARsolo)	SCAPTURE v1.0 (2021/01/25), git main clone 2026-08-18, /mnt/ssd1/Projects/PeakATail_wd/tools/SCAPTURE; samtools 1.9; bedtools v2.26.0; 2.1.4; featureCounts v1.6.4	`-m PAScall --species mouse -l 98 -p 16`; annotation prebuilt from the run's own GTF	`results/benchmark_tools/gse104556/scapture/run.sh`	Mouse-2 site-level run completed and was scored (P@100 0.672); only its per-cell quantification step failed. That run is not invalid.
Sierra	GSE104556 testis (mouse, 10x 3' v2, STARsolo)	Sierra 0.99.27; R 4.5.3	`FindPeaks`/`CountPeaks`, `ncores = 16`, GRCm38.102 GTF	`results/benchmark_tools/gse104556/sierra/run.sh`	No retry or skipped stage recorded in the run log.
scAPAtrap	GSE104556 testis (mouse, 10x 3' v2, STARsolo)	scAPAtrap 0.2.0 / R 4.5.3	`readlength 98`; STARsolo filtered barcodes; same four-stage chain	`results/benchmark_tools/gse104556/scapatrap/run.sh`	No retry or skipped stage recorded in the run log.
scUTRquant	GSE104556 testis (mouse, 10x 3' v2, STARsolo)	scUTRquant pipeline v0.5.1 (Mayrlab/scUTRquant, git clone; SQ_VERSION in Snakefile); snakemake 7.32.4; git commit: d16056f33000fdc9bb7d1d74a78a73900f298f8c; prep samtools: samtools 1.24	`target utrome_mm10_v2`, `tech 10xv2`, `--fr-stranded`, `min_umis 500`	`results/benchmark_tools/gse104556/scutrquant/run.sh`	No retry or skipped stage recorded in the run log.
