name	gene	chrom	strand	lo	hi	prox	dist	span	direction	max_abs_dprop	qmax	tx	reads	step_prox	step_dist	depth_prox	depth_dist	frac_prox_first	frac_prox_last	peak_shift	n_cells_SPC	n_cells_RS	n_cells_ES
Prps1	ENSMUSG00000031432	X	+	140474106	140477338	140475306	140476138	832	shortening	1.0	0.0219981582239427	ENSMUST00000033809	88	35.61	465.2	12.81	11.62	0.0	1.0	True	370	504	356
Rragc	ENSMUSG00000028646	4	+	123934699	123938192	123935899	123936992	1093	shortening	0.9317959655203056	4.0663202382755845e-05	ENSMUST00000030399	991	129.58	4200.5	80.98	168.01	0.04528042993539535	0.9772256728778468	True	370	504	356
Socs7	ENSMUSG00000038485	11	+	97392433	97399741	97393633	97398541	4908	shortening	0.8763717688666979	0.0191059964204973	ENSMUST00000238729	1283	238.53	6863.0	135.95	137.25	0.03904473085670963	0.9682001824579695	True	370	504	356
Eif5a2	ENSMUSG00000050192	3	+	28793342	28800044	28794542	28798844	4302	shortening	0.8363636363636364	0.0122506058893196	ENSMUST00000060500	174	1.34	525.0	27.96	5.24	0.35586206896551725	0.9793553823467454	True	370	504	356
Gan	ENSMUSG00000052557	8	+	117212338	117217194	117213538	117215994	2456	shortening	0.8142189932537623	0.0012938196234766	ENSMUST00000162997	367	33.17	11.6	57.2	14.84	0.33159359777313846	1.0	True	370	504	356
Cdh26	ENSMUSG00000039155	2	+	178485762	178488565	178486962	178487365	403	shortening	0.8138528138528138	0.0219412834124192	ENSMUST00000042092	132	0.7	1141.8	12.94	28.54	0.5272002278553118	0.8899947616553169	True	370	504	356
St3gal5	ENSMUSG00000056091	6	+	72152646	72155749	72153846	72154549	703	shortening	0.8	0.0007392614331649	ENSMUST00000069994	97	35.12	50.69	14.92	8.1	0.1165644171779141	1.0	True	370	504	356
Bpgm	ENSMUSG00000038871	6	+	34503265	34506326	34504465	34505126	661	shortening	0.7950118739550387	3.9434670114155078e-25	ENSMUST00000045372	6454	29.87	847.76	1255.06	754.5	0.26818701326316347	0.9581450009039957	True	370	504	356
Sec22c	ENSMUSG00000061536	9	-	121681924	121685395	121684195	121683124	1071	shortening	0.7804878048780488	0.0169880227626577	ENSMUST00000078547	131	1556.0	4.14	15.55	16.58	0.1197324414715719	1.0	True	370	504	356
Zfp850	ENSMUSG00000096916	7	-	27983670	27988251	27987051	27984870	2181	lengthening	0.7601380500431406	0.0037174761085292	ENSMUST00000180502	80	588.0	29.35	5.87	14.66	0.7193605683836589	0.33423180592991913	True	370	504	356
Prpf4	ENSMUSG00000066148	4	+	62422305	62425027	62423505	62423827	322	shortening	0.742501414827391	0.0050899968897135	ENSMUST00000084524	421	8.85	0.51	78.74	10.04	0.2686401068328511	0.9551591128254581	True	370	504	356
Lasp1	ENSMUSG00000038366	11	+	97835159	97839956	97836359	97838756	2397	shortening	0.7361111111111112	1.034714876147698e-05	ENSMUST00000043843	112	114.87	220.12	25.84	8.8	0.2776659959758551	0.9974805313788364	True	370	504	356
Manba	ENSMUSG00000028164	3	+	135569332	135572533	135570532	135571333	801	shortening	0.7262443438914028	0.0224986029324371	ENSMUST00000029814	92	4.26	1495.5	7.88	14.94	0.0694006309148265	0.9725705329153606	True	370	504	356
Fmn2	ENSMUSG00000028354	1	+	174820239	174822928	174821439	174821728	289	shortening	0.7242647058823529	0.028278317309806	ENSMUST00000030039	607	2.71	0.73	156.62	19.0	0.2767803710353082	0.973564109187979	True	370	504	356
Tbc1d22a	ENSMUSG00000051864	15	+	86496142	86499702	86497342	86498502	1160	shortening	0.722997572815534	0.0107904274680279	ENSMUST00000063414	909	932.7	7208.2	46.62	180.2	0.1477041178979292	0.5749636098981077	True	370	504	356
Zfp516	ENSMUSG00000058881	18	+	83000317	83006468	83001517	83005268	3751	shortening	0.7058823529411765	0.0171939890670329	ENSMUST00000171238	144	3.33	198.0	19.83	1.97	0.5975609756097561	1.0	True	370	504	356
Casc3	ENSMUSG00000078676	11	+	98831403	98834998	98832603	98833798	1195	shortening	0.7002427184466019	2.4976242966507683e-06	ENSMUST00000017384	285	17.31	471.71	25.26	40.08	0.31379151997550897	0.5934819897084048	True	370	504	356
Stk40	ENSMUSG00000042608	4	+	126138009	126142220	126139209	126141020	1811	shortening	0.6992753623188406	0.0012900786175747	ENSMUST00000116286	708	6.31	251.81	12.84	96.94	0.05335550181378476	0.8573692551505546	True	370	504	356
Psen1	ENSMUSG00000019969	12	+	83733300	83736292	83734500	83735092	592	shortening	0.6956752089792394	1.919950343677491e-09	ENSMUST00000041806	3514	6.81	590.41	387.86	549.08	0.2422301099471907	0.8624685138539043	True	370	504	356
Hyou1	ENSMUSG00000032115	9	+	44390098	44393558	44391298	44392358	1060	shortening	0.6794871794871795	0.0279336753169625	ENSMUST00000066601	155	6.45	1341.2	2.44	33.52	0.019402098594337756	0.4672364672364672	True	370	504	356
Slc34a2	ENSMUSG00000029188	5	+	53068761	53072853	53069961	53071653	1692	shortening	0.6763038548752834	2.114807602091241e-05	ENSMUST00000094787	866	85.04	145.35	32.3	169.32	0.1582322248066889	0.6948275862068966	True	370	504	356
Wdr7	ENSMUSG00000040560	18	+	63986164	63990959	63987364	63989759	2395	shortening	0.6666666666666666	0.0117035472904387	ENSMUST00000072726	224	7.51	1334.43	7.12	46.7	0.0	0.8637236084452975	True	370	504	356
