symbol	pos	max_abs_dprop	sign	pair	dprop_m1	dprop_m2	min_q	n_pairs	mice_agree
Frmd4a	4144483	0.2477678571428571	-1	ES_vs_RS	-0.2477678571428571	-0.3086734693877551	5.1252956301448006e-05	1	True
Frmd4a	4589599	0.3041294642857143	-1	ES_vs_RS	-0.3041294642857143	-0.4093915343915344	5.392059397290997e-06	2	True
Eapp	54673460	0.26087383986157	-1	ES_vs_RS	-0.26087383986157	-0.2461760461760462	9.409443243949734e-10	2	True
Eapp	54691223	0.031392890788355	-1	RS_vs_SPC	-0.031392890788355	-0.0484927398989898	0.036492765219907	1	True
Eapp	54692846	0.3946043731319805	-1	ES_vs_RS	-0.3946043731319805	-0.4151515151515151	2.2198899045887805e-12	2	True
Eapp	54695439	0.6043647363872082	-1	ES_vs_SPC	-0.6043647363872082	-0.4885044642857142	4.367840321127068e-30	2	True
Eapp	54701346	0.0415948622504078	-1	RS_vs_SPC	-0.0415948622504078	-0.0766087211399711	0.0231174683571287	1	True
Cdh2	16588876	0.0738916256157635	-1	RS_vs_SPC	-0.0738916256157635	-0.267477419813669	0.0058506697300836	1	True
Cdh2	16719270	0.1091886170256076	1	RS_vs_SPC	0.1091886170256076	0.1521940118057037	0.0003114823042894	1	True
Cdh2	16767857	0.2953629442657655	-1	RS_vs_SPC	-0.2953629442657655	-0.1673422942891686	2.8648082154598367e-06	1	True
Ccdc138	58575847	0.0788704457667815	1	RS_vs_SPC	0.0788704457667815	0.2314632405424696	0.0097645965894294	1	True
Ccdc138	58576241	0.2359517505148573	-1	ES_vs_RS	-0.2359517505148573	-0.2895931477516059	4.882005508251109e-05	2	True
Cx3cr1	119893394	0.0779490779490779	-1	RS_vs_SPC	-0.0779490779490779	-0.0952106420686268	4.864103881854844e-05	1	True
Cx3cr1	119926587	0.4703751370418037	-1	ES_vs_SPC	-0.4703751370418037	-0.5028936947913494	3.2725391509800546e-13	2	True
Cx3cr1	119927655	0.1033891033891033	1	ES_vs_SPC	0.1033891033891033	0.076657528683115	0.0003414957019949	1	True
Cx3cr1	119971164	0.4136404136404136	-1	RS_vs_SPC	-0.4136404136404136	-0.3406572288770738	4.3484889855623044e-30	2	True
Cx3cr1	119972078	0.2034452034452034	1	RS_vs_SPC	0.2034452034452034	0.1998483974974911	5.286155545233872e-08	1	True
Cx3cr1	119972212	0.2719037719037718	1	RS_vs_SPC	0.2719037719037718	0.2921017231439369	3.446657692606773e-09	1	True
4930444P10Rik	16065973	0.2477798223857908	-1	ES_vs_RS	-0.2477798223857908	-0.2744522348816827	0.00238208631056	2	True
4930444P10Rik	16066167	0.5075007813313888	-1	ES_vs_SPC	-0.5075007813313888	-0.2755020080321285	1.0664112794629096e-12	2	True
Pmel	128705309	0.5402887750349326	-1	ES_vs_SPC	-0.5402887750349326	-0.4360047846889952	4.498442951043183e-05	1	True
Pmel	128720123	0.5486725663716814	1	ES_vs_SPC	0.5486725663716814	0.526913875598086	1.1622831773713933e-05	3	True
Bola3	83358248	0.3671250399744163	-1	ES_vs_SPC	-0.3671250399744163	-0.3345559845559845	2.097814136329647e-15	2	True
Bola3	83358395	0.3655793625413068	-1	ES_vs_SPC	-0.3655793625413068	-0.1976833976833976	2.0720211126495976e-10	1	True
Bola3	83359211	0.0311446612543322	-1	RS_vs_SPC	-0.0311446612543322	-0.0689167251667251	0.0109993043347984	1	True
Abhd10	45731373	0.1013732276431841	-1	RS_vs_SPC	-0.1013732276431841	-0.0828733991092548	0.0002804083991205	1	True
Abhd10	45731445	0.1522831305124484	-1	RS_vs_SPC	-0.1522831305124484	-0.2088563087348435	0.0059403466411456	1	True
Abhd10	45742618	0.0849056603773584	-1	RS_vs_SPC	-0.0849056603773584	-0.0479041916167664	0.0001555267674794	1	True
Psme3	101321936	0.560308972073678	1	ES_vs_SPC	0.560308972073678	0.5158080564917349	1.981968238487458e-34	3	True
Psme3	101322025	0.3300653594771242	1	ES_vs_SPC	0.3300653594771242	0.2288557213930348	1.2592822330427434e-10	2	True
Psme3	101323535	0.6559714795008913	-1	ES_vs_SPC	-0.6559714795008913	-0.7089552238805971	2.8099296634031993e-48	3	True
Kcmf1	72842508	0.1922620225608549	-1	RS_vs_SPC	-0.1922620225608549	-0.1238920741989881	3.1364348136372034e-08	2	True
Kcmf1	72842803	0.2489536150450088	-1	ES_vs_SPC	-0.2489536150450088	-0.272	1.012879181414077e-08	2	True
Kcmf1	72842853	0.1076093409855531	-1	RS_vs_SPC	-0.1076093409855531	-0.0963102866779089	0.0002586442186993	1	True
Kcmf1	72842884	0.0726631044264133	-1	RS_vs_SPC	-0.0726631044264133	-0.1717504215851602	0.0290574860659582	1	True
Kcmf1	72848320	0.1253368499512642	-1	ES_vs_SPC	-0.1253368499512642	-0.0937777777777777	0.0013004480414805	2	True
Kcmf1	72895665	0.0398773006134969	-1	RS_vs_SPC	-0.0398773006134969	-0.0423136593591905	0.0002567281791263	1	True
Tdrd12	35466946	0.1586715867158671	-1	RS_vs_SPC	-0.1586715867158671	-0.2239621779324405	3.363464157522566e-10	1	True
Tdrd12	35467063	0.3960261141072949	-1	RS_vs_SPC	-0.3960261141072949	-0.6053464093641252	4.179381529000192e-21	2	True
Tdrd12	35493629	0.0921941527107579	1	RS_vs_SPC	0.0921941527107579	0.1030264684171675	0.0177983060457937	1	True
