gene	pos	strand	inside	outside	step	depth	dprop
ENSMUSG00000043059	31198980	-	100.84	0.845	117.95321637426902	100.84	0.1357300073367572
ENSMUSG00000053012	71284960	+	140.575	759.01	0.18521909831097993	140.575	0.2025429685004153
ENSMUSG00000005625	95032703	-	2309.635	3.11	740.2708333333336	2309.635	0.226491211218903
ENSMUSG00000029814	49206213	-	2.99	0.655	4.511278195488722	2.99	0.0352422907488986
ENSMUSG00000040325	106880982	+	38.525	0.005	2569.0	38.525	0.1220147819028495
ENSMUSG00000028156	138556908	+	16.43	16.16	1.0166975881261595	16.43	0.0552020609597119
ENSMUSG00000036249	51924447	-	77.04	0.0	7705.000000000001	77.04	0.2707641196013289
ENSMUSG00000029784	30520253	+	2926.19	24.585	118.97540150437081	2926.19	0.5543650793650794
ENSMUSG00000031592	41332092	+	63.39	102.27	0.6198670316777474	63.39	0.1845526975653159
ENSMUSG00000070283	108560167	-	178.005	19.505	9.121957468613886	178.005	0.181562440145566
ENSMUSG00000073877	42158838	+	539.865	0.0	53987.5	539.865	0.3265243706136114
ENSMUSG00000005983	3906808	-	155.025	0.525	289.78504672897196	155.025	0.106007281553398
ENSMUSG00000020219	80900703	-	67.48	84.3	0.8004981615466731	67.48	0.0899333560868706
ENSMUSG00000026049	44086909	-	1334.78	544.455	2.451562543046844	1334.78	0.1654493573130186
ENSMUSG00000008140	44490769	-	129.805	160.185	0.8103561284684291	129.805	0.4334671532846715
ENSMUSG00000075302	70540883	+	2831.515	3.81	741.2369109947645	2831.515	0.2697056810403833
ENSMUSG00000035456	98187337	+	137.825	19.015	7.244940867279893	137.825	0.1377841417576517
ENSMUSG00000036097	44958231	+	2.455	8.055	0.30564166150030997	2.455	0.5
ENSMUSG00000036964	58965207	+	17.52	34.61	0.5063547082611208	17.52	0.111164325244785
ENSMUSG00000030243	142362142	-	216.725	7.175	30.16492693110647	216.725	0.3640350877192982
ENSMUSG00000031996	31150711	-	120.67	11.305	10.66548828988069	120.67	0.3035366645035691
ENSMUSG00000068250	149159818	-	21.525	23.15	0.9298359240069085	21.525	0.215478650137741
ENSMUSG00000019173	100713103	-	16.165	12.94	1.249034749034749	16.165	0.1790890269151138
ENSMUSG00000015027	122578409	-	14.32	10.905	1.3128721942281265	14.32	0.6477272727272727
ENSMUSG00000036555	140695319	-	8.005	3.04	2.6278688524590166	8.005	0.059090909090909
ENSMUSG00000022389	81816279	+	0.0	3.67	0.0027173913043478264	0.0	0.1166666666666666
ENSMUSG00000025892	4674797	-	14.065	3.855	3.6416558861578268	14.065	0.4888888888888889
ENSMUSG00000052512	49607146	+	14.265	0.0	1427.5	14.265	0.3103030303030303
ENSMUSG00000029769	29426997	+	2000.465	0.065	26673.0	2000.465	0.1728059520194351
ENSMUSG00000074579	65695461	+	10.425	0.275	36.614035087719294	10.425	0.0851946575731742
ENSMUSG00000026584	163953745	+	107.35	44.28	2.424023481598555	107.35	0.4720918101199792
