symbol	gene	celltype	n_cells	chrom	strand	lo	hi	prox	dist	direction	n_patients
ZBTB38	ENSG00000177311	Epithelial_Tumor	1480	3	+	141440985	141449067	141442485	141447567	distal-up in tumour	9
ZBTB38	ENSG00000177311	T_cell	4305	3	+	141440985	141449067	141442485	141447567	distal-up in tumour	9
YWHAB	ENSG00000166913	Epithelial_Tumor	1480	20	+	44905031	44909886	44906531	44908386	distal-up in tumour	9
YWHAB	ENSG00000166913	T_cell	4305	20	+	44905031	44909886	44906531	44908386	distal-up in tumour	9
CGGBP1	ENSG00000163320	Epithelial_Tumor	1480	3	-	88050449	88058826	88057326	88051949	distal-up in tumour	9
CGGBP1	ENSG00000163320	T_cell	4305	3	-	88050449	88058826	88057326	88051949	distal-up in tumour	9
SPAG1	ENSG00000104450	Epithelial_Tumor	1342	8	+	100239936	100253587	100241436	100252087	proximal-up in tumour	8
SPAG1	ENSG00000104450	T_cell	4212	8	+	100239936	100253587	100241436	100252087	proximal-up in tumour	8
