gene	chrom	strand	prox	dist	span	direction	max_abs_dprop	qmax	clean	utr_class	tx	gene_id	name	prox_d	prox_score	dist_d	dist_score	both_in_atlas
ENSMUSG00000031432	X	+	140475306	140476138	832	shortening	1.0	0.0219981582239427	True	same 3'UTR interval	ENSMUST00000033809	ENSMUSG00000031432	Prps1	0.0	1.5358	1.0	125.7445	True
ENSMUSG00000028646	4	+	123935899	123936992	1093	shortening	0.9317959655203056	4.0663202382755845e-05	True	same 3'UTR interval	ENSMUST00000030399	ENSMUSG00000028646	Rragc	3.0	0.6881	2.0	94.0369	True
ENSMUSG00000038485	11	+	97393633	97398541	4908	shortening	0.8763717688666979	0.0191059964204973	True	same 3'UTR interval	ENSMUST00000238729	ENSMUSG00000038485	Socs7	1.0	3.2322	0.0	26.4597	True
ENSMUSG00000050192	3	+	28794542	28798844	4302	shortening	0.8363636363636364	0.0122506058893196	True	same 3'UTR interval	ENSMUST00000060500	ENSMUSG00000050192	Eif5a2			6.0	8.5769	False
ENSMUSG00000052557	8	+	117213538	117215994	2456	shortening	0.8142189932537623	0.0012938196234766	True	same 3'UTR interval	ENSMUST00000162997	ENSMUSG00000052557	Gan	1.0	0.7673	1.0	19.3619	True
ENSMUSG00000039155	2	+	178486962	178487365	403	shortening	0.8138528138528138	0.0219412834124192	True	same 3'UTR interval	ENSMUST00000042092	ENSMUSG00000039155	Cdh26			1.0	0.7625	False
ENSMUSG00000056091	6	+	72153846	72154549	703	shortening	0.8	0.0007392614331649	True	same 3'UTR interval	ENSMUST00000069994	ENSMUSG00000056091	St3gal5			13.0	20.2266	False
ENSMUSG00000038871	6	+	34504465	34505126	661	shortening	0.7950118739550387	3.9434670114155078e-25	True	same 3'UTR interval	ENSMUST00000045372	ENSMUSG00000038871	Bpgm	0.0	11.4024	1.0	28.4123	True
ENSMUSG00000061536	9	-	121684195	121683124	1071	shortening	0.7804878048780488	0.0169880227626577	True	same 3'UTR interval	ENSMUST00000078547	ENSMUSG00000061536	Sec22c	3.0	3.9259			False
ENSMUSG00000096916	7	-	27987051	27984870	2181	lengthening	0.7601380500431406	0.0037174761085292	True	same 3'UTR interval	ENSMUST00000180502	ENSMUSG00000096916	Zfp850	6.0	2.9273	14.0	0.0069	True
ENSMUSG00000066148	4	+	62423505	62423827	322	shortening	0.742501414827391	0.0050899968897135	True	same 3'UTR interval	ENSMUST00000084524	ENSMUSG00000066148	Prpf4					False
ENSMUSG00000038366	11	+	97836359	97838756	2397	shortening	0.7361111111111112	1.034714876147698e-05	True	same 3'UTR interval	ENSMUST00000043843	ENSMUSG00000038366	Lasp1			8.0	332.0806	False
ENSMUSG00000028164	3	+	135570532	135571333	801	shortening	0.7262443438914028	0.0224986029324371	True	same 3'UTR interval	ENSMUST00000029814	ENSMUSG00000028164	Manba			11.0	5.8309	False
ENSMUSG00000028354	1	+	174821439	174821728	289	shortening	0.7242647058823529	0.028278317309806	True	same 3'UTR interval	ENSMUST00000030039	ENSMUSG00000028354	Fmn2					False
