pas_id	chrom	start	end	strand	assigned_gene_id	n_samestrand_gene_bodies	gene_name	gene_biotype	n_pairs_replicated	max_patient_support	max_abs_effect	disclosure
392	1	1318668	1319115	-	ENSG00000127054	2	INTS11	protein_coding	1	2	0.30930	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
432	1	1401908	1402056	-	ENSG00000242485	1	MRPL20	protein_coding	2	3	0.16994	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
437	1	1403926	1405854	-	ENSG00000242485	2	MRPL20	protein_coding	2	4	0.19995	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
485	1	1541672	1541673	-	ENSG00000160075	1	SSU72	protein_coding	4	3	0.33263	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
521	1	1630388	1630605	+	ENSG00000197530	1	MIB2	protein_coding	2	2	0.63435	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
524	1	1635586	1635587	-	ENSG00000248333	1	CDK11B	protein_coding	2	3	0.34485	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
544	1	1661477	1661480	-	ENSG00000189339	1	SLC35E2B	protein_coding	2	4	0.57466	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
575	1	1702729	1702730	-	ENSG00000008128	1	CDK11A	protein_coding	1	2	0.29685	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
635	1	1785285	1785290	-	ENSG00000078369	1	GNB1	protein_coding	13	7	0.59360	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
639	1	1786748	1786901	-	ENSG00000078369	1	GNB1	protein_coding	7	4	0.45660	own-gene 3'UTR verified vs GTF; audit only, not a published ranked list (20 disclosure 1, issue #99)
