offset	A_fraction_kept	A_fraction_removed	n_kept	n_removed
-50	0.283431	0.284257	46544	15588
-49	0.290370	0.279125	46544	15588
-48	0.288544	0.291635	46544	15588
-47	0.288888	0.283038	46544	15588
-46	0.287857	0.287336	46544	15588
-45	0.288157	0.287978	46544	15588
-44	0.283839	0.287593	46544	15588
-43	0.286224	0.296382	46544	15588
-42	0.294302	0.294842	46544	15588
-41	0.293958	0.301386	46544	15588
-40	0.293013	0.310816	46544	15588
-39	0.297375	0.317680	46544	15588
-38	0.300339	0.337118	46544	15588
-37	0.305174	0.332628	46544	15588
-36	0.307387	0.349115	46544	15588
-35	0.307515	0.345651	46544	15588
-34	0.313617	0.350077	46544	15588
-33	0.319504	0.351296	46544	15588
-32	0.320449	0.354054	46544	15588
-31	0.327475	0.356813	46544	15588
-30	0.337595	0.350462	46544	15588
-29	0.342364	0.356107	46544	15588
-28	0.353859	0.359251	46544	15588
-27	0.365009	0.345266	46544	15588
-26	0.374828	0.360983	46544	15588
-25	0.387526	0.354632	46544	15588
-24	0.407507	0.357454	46544	15588
-23	0.430431	0.363356	46544	15588
-22	0.454838	0.367398	46544	15588
-21	0.477333	0.385938	46544	15588
-20	0.498689	0.397229	46544	15588
-19	0.511258	0.423467	46544	15588
-18	0.512139	0.445920	46544	15588
-17	0.507949	0.471388	46544	15588
-16	0.481351	0.506094	46544	15588
-15	0.468288	0.535604	46544	15588
-14	0.431570	0.582050	46544	15588
-13	0.388041	0.629074	46544	15588
-12	0.360025	0.664229	46544	15588
-11	0.337444	0.699320	46544	15588
-10	0.335532	0.719592	46544	15588
-9	0.326959	0.765268	46544	15588
-8	0.333727	0.799205	46544	15588
-7	0.364472	0.816269	46544	15588
-6	0.425039	0.846613	46544	15588
-5	0.427273	0.958879	46544	15588
-4	0.373432	0.959969	46544	15588
-3	0.396378	0.931037	46544	15588
-2	0.427552	0.913587	46544	15588
-1	0.599862	0.974788	46544	15588
0	0.880951	0.989479	46544	15588
1	0.000000	0.000000	46544	15588
2	0.216634	0.215871	46544	15588
3	0.174007	0.263729	46544	15588
4	0.220007	0.282974	46544	15588
5	0.201014	0.238517	46544	15588
6	0.208878	0.286053	46544	15588
7	0.204838	0.288427	46544	15588
8	0.211348	0.307673	46544	15588
9	0.206708	0.299140	46544	15588
10	0.223165	0.311458	46544	15588
11	0.233886	0.314858	46544	15588
12	0.236851	0.315820	46544	15588
13	0.227118	0.301963	46544	15588
14	0.233585	0.310174	46544	15588
15	0.228579	0.306646	46544	15588
16	0.225894	0.306646	46544	15588
17	0.227827	0.303952	46544	15588
18	0.228214	0.309276	46544	15588
19	0.233242	0.321978	46544	15588
20	0.233005	0.315242	46544	15588
21	0.238892	0.317809	46544	15588
22	0.238591	0.304722	46544	15588
23	0.250945	0.312741	46544	15588
24	0.253738	0.304016	46544	15588
25	0.254748	0.298884	46544	15588
26	0.260893	0.308122	46544	15588
27	0.270089	0.307159	46544	15588
28	0.270690	0.316975	46544	15588
29	0.282937	0.344239	46544	15588
30	0.281153	0.322107	46544	15588
31	0.274063	0.288876	46544	15588
32	0.276169	0.289902	46544	15588
33	0.278102	0.283423	46544	15588
34	0.273977	0.292789	46544	15588
35	0.284054	0.334296	46544	15588
36	0.278468	0.303952	46544	15588
37	0.277931	0.284578	46544	15588
38	0.278468	0.288491	46544	15588
39	0.285300	0.330511	46544	15588
40	0.275825	0.287208	46544	15588
41	0.278403	0.286567	46544	15588
42	0.281733	0.288684	46544	15588
43	0.278683	0.302925	46544	15588
44	0.277608	0.291186	46544	15588
45	0.277329	0.293431	46544	15588
46	0.284032	0.326277	46544	15588
47	0.276813	0.283808	46544	15588
48	0.280186	0.280344	46544	15588
49	0.276663	0.279061	46544	15588
50	0.281519	0.293367	46544	15588
