symbol	gene	mouse	stage	n_cells	reads_used	chrom	strand	lo	hi	prox	dist	direction	pair	qmax	tx	dprox	ddist
Rragc	ENSMUSG00000028646	mouse1	SPC	370	598	4	+	123934399	123938492	123935899	123936992	shortening	tandem 3'UTR	4.066e-05	ENSMUST00000030399	0.0	0.9318
Rragc	ENSMUSG00000028646	mouse1	RS	504	138	4	+	123934399	123938492	123935899	123936992	shortening	tandem 3'UTR	4.066e-05	ENSMUST00000030399	0.0	0.9318
Rragc	ENSMUSG00000028646	mouse1	ES	356	260	4	+	123934399	123938492	123935899	123936992	shortening	tandem 3'UTR	4.066e-05	ENSMUST00000030399	0.0	0.9318
Bpgm	ENSMUSG00000038871	mouse1	SPC	370	2276	6	+	34502965	34506626	34504465	34505126	shortening	tandem 3'UTR	3.943e-25	ENSMUST00000045372	0.0	0.795
Bpgm	ENSMUSG00000038871	mouse1	RS	504	3175	6	+	34502965	34506626	34504465	34505126	shortening	tandem 3'UTR	3.943e-25	ENSMUST00000045372	0.0	0.795
Bpgm	ENSMUSG00000038871	mouse1	ES	356	1007	6	+	34502965	34506626	34504465	34505126	shortening	tandem 3'UTR	3.943e-25	ENSMUST00000045372	0.0	0.795
Atg12	ENSMUSG00000032905	mouse1	SPC	370	1457	18	-	46730924	46735755	46734255	46732424	shortening	tandem 3'UTR	9.514e-12	ENSMUST00000035648	0.0	0.6499
Atg12	ENSMUSG00000032905	mouse1	RS	504	1741	18	-	46730924	46735755	46734255	46732424	shortening	tandem 3'UTR	9.514e-12	ENSMUST00000035648	0.0	0.6499
Atg12	ENSMUSG00000032905	mouse1	ES	356	143	18	-	46730924	46735755	46734255	46732424	shortening	tandem 3'UTR	9.514e-12	ENSMUST00000035648	0.0	0.6499
D1Ertd622e	ENSMUSG00000044768	mouse1	SPC	370	261	1	-	97634609	97645400	97643900	97636109	lengthening	tandem 3'UTR	0.0005244	ENSMUST00000053033	0.0	0.5646
D1Ertd622e	ENSMUSG00000044768	mouse1	RS	504	146	1	-	97634609	97645400	97643900	97636109	lengthening	tandem 3'UTR	0.0005244	ENSMUST00000053033	0.0	0.5646
D1Ertd622e	ENSMUSG00000044768	mouse1	ES	356	104	1	-	97634609	97645400	97643900	97636109	lengthening	tandem 3'UTR	0.0005244	ENSMUST00000053033	0.0	0.5646
Rragc	ENSMUSG00000028646	mouse2	SPC	268	673	4	+	123934399	123938492	123935899	123936992	shortening	tandem 3'UTR	4.066e-05	ENSMUST00000030399	0.0	0.0
Rragc	ENSMUSG00000028646	mouse2	RS	757	313	4	+	123934399	123938492	123935899	123936992	shortening	tandem 3'UTR	4.066e-05	ENSMUST00000030399	0.0	0.0
Rragc	ENSMUSG00000028646	mouse2	ES	271	273	4	+	123934399	123938492	123935899	123936992	shortening	tandem 3'UTR	4.066e-05	ENSMUST00000030399	0.0	0.0
Bpgm	ENSMUSG00000038871	mouse2	SPC	268	1807	6	+	34502965	34506626	34504465	34505126	shortening	tandem 3'UTR	3.943e-25	ENSMUST00000045372	0.0	0.0
Bpgm	ENSMUSG00000038871	mouse2	RS	757	6313	6	+	34502965	34506626	34504465	34505126	shortening	tandem 3'UTR	3.943e-25	ENSMUST00000045372	0.0	0.0
Bpgm	ENSMUSG00000038871	mouse2	ES	271	1105	6	+	34502965	34506626	34504465	34505126	shortening	tandem 3'UTR	3.943e-25	ENSMUST00000045372	0.0	0.0
Atg12	ENSMUSG00000032905	mouse2	SPC	268	1099	18	-	46730925	46735755	46734255	46732425	shortening	tandem 3'UTR	9.514e-12	ENSMUST00000035648	0.0	0.0
Atg12	ENSMUSG00000032905	mouse2	RS	757	2963	18	-	46730925	46735755	46734255	46732425	shortening	tandem 3'UTR	9.514e-12	ENSMUST00000035648	0.0	0.0
Atg12	ENSMUSG00000032905	mouse2	ES	271	89	18	-	46730925	46735755	46734255	46732425	shortening	tandem 3'UTR	9.514e-12	ENSMUST00000035648	0.0	0.0
D1Ertd622e	ENSMUSG00000044768	mouse2	SPC	268	174	1	-	97634609	97645404	97643904	97636109	lengthening	tandem 3'UTR	0.0005244	ENSMUST00000053033	0.0	0.0
D1Ertd622e	ENSMUSG00000044768	mouse2	RS	757	257	1	-	97634609	97645404	97643904	97636109	lengthening	tandem 3'UTR	0.0005244	ENSMUST00000053033	0.0	0.0
D1Ertd622e	ENSMUSG00000044768	mouse2	ES	271	43	1	-	97634609	97645404	97643904	97636109	lengthening	tandem 3'UTR	0.0005244	ENSMUST00000053033	0.0	0.0
