symbol	gene	chrom	strand	lo	hi	span	n_sites	n_pairs	reads	max_abs_dprop	min_q	n_cells_SPC	n_cells_RS	n_cells_ES
Frmd4a	ENSMUSG00000026657	2	+	4142983	4591099	445116	2	2	932	0.3041294642857143	5.392059397290997e-06	370	504	356
Eapp	ENSMUSG00000054302	12	-	54671960	54702846	27886	5	3	12232	0.6043647363872082	4.367840321127068e-30	370	504	356
Cdh2	ENSMUSG00000024304	18	-	16587376	16769357	178981	3	1	1691	0.2953629442657655	2.8648082154598367e-06	370	504	356
Ccdc138	ENSMUSG00000038010	10	+	58574347	58577741	394	2	2	519	0.2359517505148573	4.882005508251109e-05	370	504	356
Cx3cr1	ENSMUSG00000052336	9	-	119891894	119973712	78818	6	2	3555	0.4703751370418037	4.3484889855623044e-30	370	504	356
4930444P10Rik	ENSMUSG00000067795	1	-	16064473	16067667	194	2	2	3930	0.5075007813313888	1.0664112794629096e-12	370	504	356
Pmel	ENSMUSG00000025359	10	+	128703809	128721623	14814	2	3	543	0.5486725663716814	1.1622831773713933e-05	370	504	356
Bola3	ENSMUSG00000045160	6	+	83356748	83360711	963	3	3	9769	0.3671250399744163	2.097814136329647e-15	370	504	356
Abhd10	ENSMUSG00000033157	16	-	45729873	45744118	11245	3	1	1055	0.1522831305124484	0.0001555267674794	370	504	356
Psme3	ENSMUSG00000078652	11	+	101320436	101325035	1599	3	3	3363	0.6559714795008913	2.8099296634031993e-48	370	504	356
Kcmf1	ENSMUSG00000055239	6	-	72841008	72897165	53157	6	2	4255	0.2489536150450088	1.012879181414077e-08	370	504	356
Tdrd12	ENSMUSG00000030491	7	-	35465446	35495129	26683	3	2	2247	0.3960261141072949	4.179381529000192e-21	370	504	356
