pas_id	chrom	start	end	strand	assigned_gene_id	context	n_samestrand_gene_bodies	utr3_gene_ids	in_own_gene_body	exonic_any_gene	panel	gtf
82600	11	67435509	67435643	-	ENSG00000172725	own-gene 3' UTR	2	ENSG00000172725,ENSG00000213402	True	True	d	/home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
82605	11	67437997	67438051	-	ENSG00000172725	own-gene 3' UTR	1	ENSG00000172725	True	True	d	/home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
29519	1	153535223	153535435	-	ENSG00000197956	exonic, not 3' UTR	1		True	True	d	/home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
249270	2	85658467	85658498	-	ENSG00000168878	own-gene 3' UTR	1	ENSG00000168878	True	True	d	/home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
434696	7	99366075	99366268	+	ENSG00000284292	other-gene 3' UTR	2	ENSG00000241685	True	True	d	/home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
158718	15	65772084	65772922	+	ENSG00000103769	intronic (same-strand gene body)	1		True	False	d	/home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
368177	5	59766971	59767998	-	ENSG00000113448	intronic (same-strand gene body)	1		True	False	d	/home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
14666	1	54031662	54031769	-	ENSG00000116209	own-gene 3' UTR	1	ENSG00000116209	True	True	d	/home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
79587	11	57818027	57818447	+	ENSG00000288534	own-gene 3' UTR	2	ENSG00000198561,ENSG00000288534	True	True	d	/home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
30214	1	155134853	155134935	+	ENSG00000169242	own-gene 3' UTR	1	ENSG00000169242	True	True	d	/home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
286744	20	58911028	58911192	+	ENSG00000087460	own-gene 3' UTR	1	ENSG00000087460	True	True	d	/home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
328022	3	150542177	150542178	-	ENSG00000120742	own-gene 3' UTR	1	ENSG00000120742	True	True	d	/home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
158782	15	65889447	65889456	+	ENSG00000103769	own-gene 3' UTR	1	ENSG00000103769	True	True	d	/home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
231743	19	48965349	48966070	+	ENSG00000087088	exonic, not 3' UTR	1		False	True	d	/home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
419546	7	6403866	6404006	+	ENSG00000136238	own-gene 3' UTR	1	ENSG00000136238	True	True	d	/home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
470750	9	33110641	33110642	-	ENSG00000086062	own-gene 3' UTR	1	ENSG00000086062	True	True	d	/home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
190176	17	27313206	27313501	+	ENSG00000109046	own-gene 3' UTR	1	ENSG00000109046	True	True	d	/home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
45588	1	235109340	235109341	-	ENSG00000173726	own-gene 3' UTR	1	ENSG00000173726	True	True	d	/home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
81392	11	65115920	65116230	+	ENSG00000149823	other-gene 3' UTR	1	ENSG00000149809	False	True	d	/home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
312133	3	49357175	49357335	-	ENSG00000067560	other-gene 3' UTR	1	ENSG00000233276	False	True	d	/home/sharedFolder/humanSTARindex/Homo_sapiens.GRCh38.99.gtf
